,acc
95,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
96,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
97,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16957026713124274, 0.12253193960511034, 0.20963995354239257]"
98,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16957026713124274, 0.12253193960511034, 0.20963995354239257]"
99,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16957026713124274, 0.12253193960511034, 0.20963995354239257]"
100,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16957026713124274, 0.12253193960511034, 0.20963995354239257]"
101,"[0.1916376306620209, 0.16666666666666666, 0.16550522648083624, 0.17015098722415795, 0.12253193960511034, 0.20963995354239257]"
102,"[0.19047619047619047, 0.16666666666666666, 0.16666666666666666, 0.1718931475029036, 0.12253193960511034, 0.20963995354239257]"
103,"[0.1910569105691057, 0.16666666666666666, 0.16840882694541232, 0.17421602787456447, 0.12253193960511034, 0.20963995354239257]"
104,"[0.1910569105691057, 0.16666666666666666, 0.16898954703832753, 0.1753774680603949, 0.12253193960511034, 0.21080139372822299]"
105,"[0.1910569105691057, 0.16666666666666666, 0.16898954703832753, 0.1759581881533101, 0.12253193960511034, 0.21138211382113822]"
106,"[0.1910569105691057, 0.16666666666666666, 0.16898954703832753, 0.17421602787456447, 0.12253193960511034, 0.21138211382113822]"
107,"[0.1910569105691057, 0.16666666666666666, 0.16957026713124274, 0.17073170731707318, 0.12253193960511034, 0.21254355400696864]"
108,"[0.1910569105691057, 0.16666666666666666, 0.17073170731707318, 0.17073170731707318, 0.12253193960511034, 0.21254355400696864]"
109,"[0.1910569105691057, 0.16666666666666666, 0.17247386759581881, 0.17073170731707318, 0.12253193960511034, 0.21254355400696864]"
110,"[0.1910569105691057, 0.16666666666666666, 0.17305458768873402, 0.16957026713124274, 0.12253193960511034, 0.21254355400696864]"
111,"[0.1916376306620209, 0.16666666666666666, 0.17421602787456447, 0.16957026713124274, 0.12137049941927991, 0.21254355400696864]"
112,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16898954703832753, 0.1207897793263647, 0.21254355400696864]"
113,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16840882694541232, 0.1207897793263647, 0.21370499419279906]"
114,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16840882694541232, 0.12195121951219512, 0.21428571428571427]"
115,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16666666666666666, 0.1207897793263647, 0.2148664343786295]"
116,"[0.1910569105691057, 0.16666666666666666, 0.17363530778164923, 0.16608594657375145, 0.1207897793263647, 0.21428571428571427]"
117,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16608594657375145, 0.1207897793263647, 0.21544715447154472]"
118,"[0.1916376306620209, 0.17073170731707318, 0.17363530778164923, 0.16550522648083624, 0.1207897793263647, 0.21544715447154472]"
119,"[0.1916376306620209, 0.17073170731707318, 0.17363530778164923, 0.16550522648083624, 0.1207897793263647, 0.21544715447154472]"
120,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16550522648083624, 0.1207897793263647, 0.21544715447154472]"
121,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16550522648083624, 0.12020905923344948, 0.21544715447154472]"
122,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16550522648083624, 0.12020905923344948, 0.21544715447154472]"
123,"[0.1916376306620209, 0.16666666666666666, 0.17363530778164923, 0.16550522648083624, 0.11846689895470383, 0.21544715447154472]"
