,acc
93,"[0.8292682926829268, 0.40360046457607435, 0.2607433217189315, 0.2601626016260163, 0.1445993031358885, 0.11846689895470383]"
94,"[0.8252032520325203, 0.40185830429732866, 0.2619047619047619, 0.2601626016260163, 0.14576074332171893, 0.1207897793263647]"
95,"[0.8252032520325203, 0.40418118466898956, 0.2619047619047619, 0.2601626016260163, 0.14634146341463414, 0.1207897793263647]"
96,"[0.8252032520325203, 0.4059233449477352, 0.2619047619047619, 0.2601626016260163, 0.14634146341463414, 0.1207897793263647]"
97,"[0.8252032520325203, 0.40534262485482, 0.2619047619047619, 0.2601626016260163, 0.14692218350754935, 0.12020905923344948]"
98,"[0.8252032520325203, 0.40476190476190477, 0.26248548199767713, 0.2601626016260163, 0.14750290360046459, 0.12020905923344948]"
99,"[0.8252032520325203, 0.40476190476190477, 0.26248548199767713, 0.259581881533101, 0.1480836236933798, 0.12020905923344948]"
100,"[0.8252032520325203, 0.4059233449477352, 0.26248548199767713, 0.259581881533101, 0.1480836236933798, 0.12195121951219512]"
101,"[0.8252032520325203, 0.40534262485482, 0.2619047619047619, 0.2601626016260163, 0.1480836236933798, 0.12195121951219512]"
102,"[0.8252032520325203, 0.40418118466898956, 0.2619047619047619, 0.2619047619047619, 0.14924506387921022, 0.1207897793263647]"
103,"[0.8252032520325203, 0.40360046457607435, 0.2619047619047619, 0.2619047619047619, 0.14924506387921022, 0.11904761904761904]"
104,"[0.8252032520325203, 0.40185830429732866, 0.259581881533101, 0.26480836236933797, 0.15040650406504066, 0.11498257839721254]"
105,"[0.8252032520325203, 0.4059233449477352, 0.2584204413472706, 0.2653890824622532, 0.15156794425087108, 0.11498257839721254]"
106,"[0.8292682926829268, 0.4076655052264808, 0.2578397212543554, 0.2659698025551684, 0.156794425087108, 0.11265969802555169]"
107,"[0.8333333333333334, 0.40824622531939603, 0.2572590011614402, 0.2653890824622532, 0.156794425087108, 0.11149825783972125]"
108,"[0.8373983739837398, 0.4088269454123113, 0.2572590011614402, 0.2653890824622532, 0.15853658536585366, 0.11091753774680604]"
109,"[0.8495934959349594, 0.41173054587688734, 0.25609756097560976, 0.2665505226480836, 0.16085946573751453, 0.10801393728222997]"
110,"[0.8577235772357723, 0.41231126596980255, 0.25609756097560976, 0.2665505226480836, 0.16318234610917537, 0.10452961672473868]"
111,"[0.8617886178861789, 0.4146341463414634, 0.25609756097560976, 0.2682926829268293, 0.1672473867595819, 0.10220673635307782]"
112,"[0.8902439024390244, 0.4169570267131243, 0.25435540069686413, 0.26713124274099886, 0.17073170731707318, 0.10220673635307782]"
113,"[0.8983739837398373, 0.4175377468060395, 0.25319396051103366, 0.2694541231126597, 0.1718931475029036, 0.10104529616724739]"
114,"[0.9024390243902439, 0.42102206736353076, 0.25261324041811845, 0.2706155632984901, 0.1759581881533101, 0.09930313588850175]"
115,"[0.9065040650406504, 0.42102206736353076, 0.25203252032520324, 0.2688734030197445, 0.17770034843205576, 0.10104529616724739]"
116,"[0.9308943089430894, 0.42276422764227645, 0.25203252032520324, 0.2706155632984901, 0.18176538908246226, 0.10046457607433217]"
117,"[0.9390243902439024, 0.42334494773519166, 0.24912891986062718, 0.27177700348432055, 0.1840882694541231, 0.09698025551684088]"
118,"[0.9390243902439024, 0.4221835075493612, 0.24912891986062718, 0.27119628339140534, 0.18641114982578397, 0.09698025551684088]"
119,"[0.9471544715447154, 0.42334494773519166, 0.24912891986062718, 0.2735191637630662, 0.18873403019744484, 0.09581881533101046]"
120,"[0.959349593495935, 0.42392566782810687, 0.24738675958188153, 0.2735191637630662, 0.18989547038327526, 0.09698025551684088]"
121,"[0.9634146341463414, 0.42392566782810687, 0.24738675958188153, 0.27584204413472707, 0.19221835075493612, 0.09523809523809523]"
122,"[0.967479674796748, 0.4250871080139373, 0.24854819976771197, 0.2764227642276423, 0.19396051103368175, 0.09523809523809523]"
123,"[0.9715447154471545, 0.4274099883855981, 0.24680603948896632, 0.2775842044134727, 0.1957026713124274, 0.09581881533101046]"
124,"[0.975609756097561, 0.42857142857142855, 0.2456445993031359, 0.2862950058072009, 0.194541231126597, 0.0975609756097561]"
125,"[0.975609756097561, 0.429732868757259, 0.2450638792102207, 0.2874564459930314, 0.1951219512195122, 0.09698025551684088]"
126,"[0.975609756097561, 0.4326364692218351, 0.24448315911730545, 0.289198606271777, 0.19802555168408828, 0.09698025551684088]"
127,"[0.975609756097561, 0.4343786295005807, 0.24390243902439024, 0.29210220673635306, 0.1991869918699187, 0.09698025551684088]"
128,"[0.975609756097561, 0.4337979094076655, 0.2450638792102207, 0.29442508710801396, 0.19802555168408828, 0.09814169570267131]"
129,"[0.975609756097561, 0.4355400696864111, 0.2462253193960511, 0.2955865272938444, 0.20034843205574912, 0.09930313588850175]"
130,"[0.9715447154471545, 0.43844367015098723, 0.2462253193960511, 0.2979094076655052, 0.20441347270615565, 0.10104529616724739]"
131,"[0.9715447154471545, 0.43960511033681765, 0.24738675958188153, 0.29965156794425085, 0.20557491289198607, 0.10046457607433217]"
132,"[0.975609756097561, 0.4419279907084785, 0.24854819976771197, 0.29965156794425085, 0.20557491289198607, 0.10104529616724739]"
133,"[0.975609756097561, 0.4436701509872242, 0.24912891986062718, 0.30023228803716606, 0.20557491289198607, 0.10220673635307782]"
134,"[0.975609756097561, 0.4465737514518002, 0.2497096399535424, 0.30023228803716606, 0.20557491289198607, 0.10336817653890824]"
135,"[0.975609756097561, 0.45005807200929154, 0.2497096399535424, 0.29732868757259, 0.20499419279907086, 0.09988385598141696]"
136,"[0.9796747967479674, 0.454123112659698, 0.24912891986062718, 0.29907084785133564, 0.20499419279907086, 0.10220673635307782]"
137,"[0.9796747967479674, 0.45586527293844364, 0.2502903600464576, 0.29849012775842043, 0.20499419279907086, 0.10220673635307782]"
138,"[0.9796747967479674, 0.45586527293844364, 0.251451800232288, 0.3008130081300813, 0.2038327526132404, 0.10046457607433217]"
139,"[0.9796747967479674, 0.4564459930313589, 0.25319396051103366, 0.30255516840882696, 0.20267131242741, 0.10220673635307782]"
140,"[0.9796747967479674, 0.45876887340301975, 0.25261324041811845, 0.3037166085946574, 0.20267131242741, 0.10220673635307782]"
141,"[0.9796747967479674, 0.45818815331010454, 0.25261324041811845, 0.305458768873403, 0.20150987224157957, 0.10278745644599303]"
142,"[0.9796747967479674, 0.45760743321718933, 0.25261324041811845, 0.30662020905923343, 0.20092915214866433, 0.10278745644599303]"
143,"[0.9796747967479674, 0.45934959349593496, 0.251451800232288, 0.3077816492450639, 0.20092915214866433, 0.10336817653890824]"
144,"[0.9796747967479674, 0.4605110336817654, 0.251451800232288, 0.3089430894308943, 0.20034843205574912, 0.10511033681765389]"
145,"[0.9796747967479674, 0.4610917537746806, 0.25551684088269455, 0.31126596980255516, 0.1997677119628339, 0.10743321718931476]"
146,"[0.9796747967479674, 0.462253193960511, 0.25551684088269455, 0.3141695702671312, 0.20034843205574912, 0.1091753774680604]"
147,"[0.983739837398374, 0.4657375145180023, 0.25551684088269455, 0.31881533101045295, 0.1986062717770035, 0.11033681765389082]"
148,"[0.983739837398374, 0.4651567944250871, 0.2590011614401858, 0.32113821138211385, 0.19802555168408828, 0.11207897793263646]"
149,"[0.983739837398374, 0.4657375145180023, 0.26248548199767713, 0.31997677119628337, 0.19744483159117304, 0.11382113821138211]"
150,"[0.983739837398374, 0.46689895470383275, 0.26364692218350755, 0.3228803716608595, 0.1957026713124274, 0.11672473867595819]"
151,"[0.9878048780487805, 0.46747967479674796, 0.26306620209059234, 0.3252032520325203, 0.1951219512195122, 0.11672473867595819]"
152,"[0.9878048780487805, 0.4686411149825784, 0.26480836236933797, 0.32694541231126595, 0.1951219512195122, 0.11904761904761904]"
153,"[0.9878048780487805, 0.4715447154471545, 0.26480836236933797, 0.32868757259001163, 0.19396051103368175, 0.12020905923344948]"
154,"[0.9878048780487805, 0.4727061556329849, 0.2659698025551684, 0.3327526132404181, 0.19279907084785133, 0.11962833914053426]"
155,"[0.9878048780487805, 0.47560975609756095, 0.26713124274099886, 0.33739837398373984, 0.19279907084785133, 0.12253193960511034]"
156,"[0.9878048780487805, 0.47909407665505227, 0.2653890824622532, 0.33914053426248547, 0.194541231126597, 0.12369337979094076]"
157,"[0.9878048780487805, 0.47793263646922185, 0.2700348432055749, 0.3408826945412311, 0.19396051103368175, 0.12601626016260162]"
158,"[0.9878048780487805, 0.4802555168408827, 0.2682926829268293, 0.3403019744483159, 0.19396051103368175, 0.12601626016260162]"
159,"[0.9878048780487805, 0.47851335656213706, 0.27409988385598144, 0.34610917537746805, 0.194541231126597, 0.1289198606271777]"
160,"[0.9878048780487805, 0.4831591173054588, 0.2659698025551684, 0.3420441347270616, 0.19337979094076654, 0.12601626016260162]"
161,"[0.9878048780487805, 0.4796747967479675, 0.2781649245063879, 0.3478513356562137, 0.1951219512195122, 0.13182346109175377]"
162,"[0.9878048780487805, 0.4831591173054588, 0.2735191637630662, 0.3501742160278746, 0.19279907084785133, 0.13066202090592335]"
163,"[0.9878048780487805, 0.48606271777003485, 0.2735191637630662, 0.34727061556329847, 0.1916376306620209, 0.13008130081300814]"
164,"[0.9878048780487805, 0.4808362369337979, 0.28222996515679444, 0.3524970963995354, 0.19221835075493612, 0.13472706155632985]"
165,"[0.9878048780487805, 0.48606271777003485, 0.27990708478513354, 0.3530778164924506, 0.1916376306620209, 0.13414634146341464]"
166,"[0.9878048780487805, 0.4959349593495935, 0.2781649245063879, 0.3501742160278746, 0.18989547038327526, 0.13240418118466898]"
167,"[0.9878048780487805, 0.4843205574912892, 0.28222996515679444, 0.3530778164924506, 0.19047619047619047, 0.13588850174216027]"
168,"[0.9878048780487805, 0.4930313588850174, 0.28397212543554007, 0.35365853658536583, 0.18931475029036005, 0.13646922183507548]"
169,"[0.9878048780487805, 0.5023228803716608, 0.281068524970964, 0.3524970963995354, 0.18699186991869918, 0.13588850174216027]"
170,"[0.9878048780487805, 0.49825783972125437, 0.2880371660859466, 0.35656213704994194, 0.18699186991869918, 0.13821138211382114]"
171,"[0.9878048780487805, 0.5, 0.2886178861788618, 0.3623693379790941, 0.18699186991869918, 0.13937282229965156]"
172,"[0.9878048780487805, 0.5063879210220673, 0.2845528455284553, 0.35830429732868757, 0.18583042973286876, 0.13646922183507548]"
173,"[0.9878048780487805, 0.5052264808362369, 0.2874564459930314, 0.3612078977932636, 0.18524970963995355, 0.140534262485482]"
174,"[0.9878048780487805, 0.5023228803716608, 0.29152148664343785, 0.3606271777003484, 0.18466898954703834, 0.14227642276422764]"
175,"[0.9878048780487805, 0.5069686411149826, 0.2880371660859466, 0.3641114982578397, 0.18524970963995355, 0.13879210220673635]"
176,"[0.9878048780487805, 0.5092915214866435, 0.29036004645760743, 0.367595818815331, 0.18466898954703834, 0.14169570267131243]"
177,"[0.9878048780487805, 0.5069686411149826, 0.2932636469221835, 0.367595818815331, 0.1835075493612079, 0.14227642276422764]"
178,"[0.9878048780487805, 0.5121951219512195, 0.2961672473867596, 0.3693379790940767, 0.1835075493612079, 0.14285714285714285]"
179,"[0.9878048780487805, 0.5174216027874564, 0.29849012775842043, 0.3716608594657375, 0.18292682926829268, 0.14285714285714285]"
180,"[0.9878048780487805, 0.5104529616724739, 0.30023228803716606, 0.3710801393728223, 0.18292682926829268, 0.14169570267131243]"
181,"[0.9878048780487805, 0.5168408826945412, 0.3042973286875726, 0.3780487804878049, 0.18234610917537747, 0.14111498257839722]"
182,"[0.9878048780487805, 0.5220673635307782, 0.3048780487804878, 0.3803716608594657, 0.1800232288037166, 0.140534262485482]"
183,"[0.9878048780487805, 0.5185830429732868, 0.31068524970963995, 0.3873403019744483, 0.18118466898954705, 0.14111498257839722]"
184,"[0.9878048780487805, 0.5255516840882695, 0.3130081300813008, 0.38559814169570267, 0.1800232288037166, 0.14111498257839722]"
185,"[0.9878048780487805, 0.5319396051103368, 0.3153310104529617, 0.3867595818815331, 0.1800232288037166, 0.14111498257839722]"
186,"[0.9878048780487805, 0.5267131242740999, 0.31939605110336816, 0.3896631823461092, 0.1806039488966318, 0.14227642276422764]"
187,"[0.9878048780487805, 0.5313588850174216, 0.3234610917537747, 0.3885017421602787, 0.1794425087108014, 0.13821138211382114]"
188,"[0.9878048780487805, 0.5342624854819977, 0.32694541231126595, 0.3914053426248548, 0.17886178861788618, 0.13763066202090593]"
189,"[0.991869918699187, 0.5301974448315911, 0.32926829268292684, 0.39314750290360045, 0.17828106852497097, 0.13821138211382114]"
190,"[0.991869918699187, 0.5360046457607434, 0.33042973286875726, 0.39663182346109177, 0.17886178861788618, 0.13937282229965156]"
191,"[0.991869918699187, 0.5354239256678281, 0.3344947735191638, 0.3983739837398374, 0.17828106852497097, 0.13879210220673635]"
192,"[0.991869918699187, 0.5331010452961672, 0.335075493612079, 0.40360046457607435, 0.17828106852497097, 0.13995354239256677]"
193,"[0.991869918699187, 0.5400696864111498, 0.3403019744483159, 0.40824622531939603, 0.1753774680603949, 0.13879210220673635]"
194,"[0.991869918699187, 0.5365853658536586, 0.3443670150987224, 0.41173054587688734, 0.1765389082462253, 0.14169570267131243]"
195,"[0.991869918699187, 0.5423925667828107, 0.34843205574912894, 0.41289198606271776, 0.1753774680603949, 0.1440185830429733]"
196,"[0.991869918699187, 0.5464576074332171, 0.3501742160278746, 0.4152148664343786, 0.1753774680603949, 0.1445993031358885]"
197,"[0.9878048780487805, 0.5476190476190477, 0.35598141695702673, 0.4140534262485482, 0.1759581881533101, 0.14634146341463414]"
198,"[0.9878048780487805, 0.5545876887340302, 0.35598141695702673, 0.4186991869918699, 0.17247386759581881, 0.14692218350754935]"
199,"[0.9878048780487805, 0.5516840882694541, 0.3641114982578397, 0.42276422764227645, 0.1718931475029036, 0.14750290360046459]"
200,"[0.9878048780487805, 0.5592334494773519, 0.36643437862950057, 0.4262485481997677, 0.16957026713124274, 0.14924506387921022]"
201,"[0.9878048780487805, 0.5574912891986062, 0.36875725900116146, 0.43147502903600465, 0.16957026713124274, 0.15040650406504066]"
202,"[0.9878048780487805, 0.5598141695702671, 0.3704994192799071, 0.4332171893147503, 0.16492450638792103, 0.15331010452961671]"
203,"[0.9878048780487805, 0.5627177700348432, 0.3722415795586527, 0.4349593495934959, 0.16318234610917537, 0.15447154471544716]"
204,"[0.9878048780487805, 0.562137049941928, 0.3786295005807201, 0.437862950058072, 0.16202090592334495, 0.15563298490127758]"
205,"[0.9878048780487805, 0.5656213704994193, 0.3832752613240418, 0.4425087108013937, 0.15911730545876887, 0.156794425087108]"
206,"[0.9878048780487805, 0.5627177700348432, 0.3797909407665505, 0.445993031358885, 0.15737514518002324, 0.15795586527293845]"
207,"[0.983739837398374, 0.575493612078978, 0.3914053426248548, 0.44773519163763065, 0.15156794425087108, 0.15331010452961671]"
208,"[0.9878048780487805, 0.5656213704994193, 0.3896631823461092, 0.44889663182346107, 0.15389082462253195, 0.16085946573751453]"
209,"[0.983739837398374, 0.5818815331010453, 0.39605110336817656, 0.45121951219512196, 0.14518002322880372, 0.15505226480836237]"
210,"[0.9878048780487805, 0.5720092915214866, 0.397212543554007, 0.45760743321718933, 0.148664343786295, 0.15853658536585366]"
211,"[0.9878048780487805, 0.5818815331010453, 0.40301974448315914, 0.45063879210220675, 0.14343786295005806, 0.15563298490127758]"
212,"[0.9878048780487805, 0.586527293844367, 0.4024390243902439, 0.4564459930313589, 0.14169570267131243, 0.156794425087108]"
213,"[0.9878048780487805, 0.578397212543554, 0.4070847851335656, 0.4616724738675958, 0.140534262485482, 0.15911730545876887]"
214,"[0.983739837398374, 0.5842044134727061, 0.41173054587688734, 0.4547038327526132, 0.13472706155632985, 0.16085946573751453]"
215,"[0.983739837398374, 0.586527293844367, 0.41231126596980255, 0.4639953542392567, 0.13704994192799072, 0.16260162601626016]"
