,acc
123,"[0.2259001161440186, 0.16666666666666666, 0.30952380952380953, 0.07607433217189315, 0.11904761904761904, 0.23867595818815332]"
124,"[0.22473867595818817, 0.16666666666666666, 0.30952380952380953, 0.07607433217189315, 0.11904761904761904, 0.23925667828106853]"
125,"[0.2224157955865273, 0.16666666666666666, 0.30952380952380953, 0.07607433217189315, 0.11904761904761904, 0.23867595818815332]"
126,"[0.2259001161440186, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23925667828106853]"
127,"[0.22357723577235772, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23983739837398374]"
128,"[0.2305458768873403, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23925667828106853]"
129,"[0.23925667828106853, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23867595818815332]"
130,"[0.23983739837398374, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23867595818815332]"
131,"[0.24738675958188153, 0.16260162601626016, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23867595818815332]"
132,"[0.25493612078977934, 0.16260162601626016, 0.30952380952380953, 0.078397212543554, 0.11904761904761904, 0.23867595818815332]"
133,"[0.2584204413472706, 0.16260162601626016, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23867595818815332]"
134,"[0.2578397212543554, 0.16260162601626016, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23925667828106853]"
135,"[0.25667828106852497, 0.16260162601626016, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23925667828106853]"
136,"[0.2584204413472706, 0.16260162601626016, 0.3089430894308943, 0.07781649245063879, 0.11904761904761904, 0.23925667828106853]"
137,"[0.24274099883855982, 0.16260162601626016, 0.3083623693379791, 0.07781649245063879, 0.11904761904761904, 0.23867595818815332]"
138,"[0.23751451800232287, 0.16260162601626016, 0.30662020905923343, 0.07723577235772358, 0.11962833914053426, 0.23867595818815332]"
139,"[0.23403019744483158, 0.16666666666666666, 0.3048780487804878, 0.07723577235772358, 0.1207897793263647, 0.23925667828106853]"
140,"[0.23751451800232287, 0.16666666666666666, 0.3042973286875726, 0.07723577235772358, 0.12020905923344948, 0.23867595818815332]"
