,acc
66,"[0.27584204413472707, 0.983739837398374, 0.3524970963995354, 0.19396051103368175, 0.19047619047619047, 0.1445993031358885]"
67,"[0.27584204413472707, 0.983739837398374, 0.3530778164924506, 0.194541231126597, 0.1910569105691057, 0.14518002322880372]"
68,"[0.27409988385598144, 0.983739837398374, 0.3530778164924506, 0.21370499419279906, 0.19047619047619047, 0.14518002322880372]"
69,"[0.2735191637630662, 0.983739837398374, 0.35423925667828104, 0.21254355400696864, 0.21080139372822299, 0.14518002322880372]"
70,"[0.2735191637630662, 0.983739837398374, 0.35423925667828104, 0.21370499419279906, 0.21138211382113822, 0.14634146341463414]"
71,"[0.27177700348432055, 0.9878048780487805, 0.35656213704994194, 0.21544715447154472, 0.21138211382113822, 0.14576074332171893]"
72,"[0.27177700348432055, 0.9878048780487805, 0.35598141695702673, 0.21602787456445993, 0.21138211382113822, 0.14576074332171893]"
73,"[0.27177700348432055, 0.9878048780487805, 0.3554006968641115, 0.21544715447154472, 0.21138211382113822, 0.14576074332171893]"
74,"[0.27119628339140534, 0.9878048780487805, 0.3554006968641115, 0.21602787456445993, 0.1910569105691057, 0.14576074332171893]"
75,"[0.27119628339140534, 0.9878048780487805, 0.31939605110336816, 0.23228803716608595, 0.18989547038327526, 0.1445993031358885]"
76,"[0.27119628339140534, 0.9878048780487805, 0.31881533101045295, 0.23170731707317074, 0.18989547038327526, 0.12601626016260162]"
77,"[0.2700348432055749, 0.9878048780487805, 0.3356562137049942, 0.23170731707317074, 0.1916376306620209, 0.12601626016260162]"
78,"[0.2677119628339141, 0.9878048780487805, 0.33681765389082463, 0.2311265969802555, 0.1910569105691057, 0.1254355400696864]"
79,"[0.25493612078977934, 0.9878048780487805, 0.33681765389082463, 0.22822299651567945, 0.18931475029036005, 0.1254355400696864]"
80,"[0.251451800232288, 0.9878048780487805, 0.33681765389082463, 0.21080139372822299, 0.18931475029036005, 0.12427409988385599]"
81,"[0.2497096399535424, 0.9878048780487805, 0.33681765389082463, 0.20557491289198607, 0.18873403019744484, 0.12427409988385599]"
82,"[0.24854819976771197, 0.9878048780487805, 0.33739837398373984, 0.1910569105691057, 0.18931475029036005, 0.12369337979094076]"
83,"[0.24796747967479674, 0.9878048780487805, 0.33739837398373984, 0.1916376306620209, 0.18989547038327526, 0.13646922183507548]"
84,"[0.24738675958188153, 0.9878048780487805, 0.33739837398373984, 0.19337979094076654, 0.19047619047619047, 0.14169570267131243]"
85,"[0.24738675958188153, 0.9878048780487805, 0.3519163763066202, 0.19279907084785133, 0.18989547038327526, 0.14343786295005806]"
86,"[0.2305458768873403, 0.9878048780487805, 0.3519163763066202, 0.194541231126597, 0.2032520325203252, 0.14285714285714285]"
87,"[0.2462253193960511, 0.9878048780487805, 0.34727061556329847, 0.1951219512195122, 0.2038327526132404, 0.14285714285714285]"
88,"[0.24332171893147503, 0.9878048780487805, 0.31765389082462253, 0.1951219512195122, 0.20557491289198607, 0.14285714285714285]"
89,"[0.22880371660859466, 0.9878048780487805, 0.3159117305458769, 0.1957026713124274, 0.2067363530778165, 0.14343786295005806]"
90,"[0.22764227642276422, 0.9878048780487805, 0.31765389082462253, 0.19744483159117304, 0.2067363530778165, 0.1440185830429733]"
91,"[0.2264808362369338, 0.9878048780487805, 0.31765389082462253, 0.21254355400696864, 0.19686411149825783, 0.14576074332171893]"
92,"[0.22764227642276422, 0.9878048780487805, 0.31823461091753774, 0.21602787456445993, 0.21080139372822299, 0.14692218350754935]"
93,"[0.22822299651567945, 0.9878048780487805, 0.32113821138211385, 0.22125435540069685, 0.22009291521486643, 0.1480836236933798]"
94,"[0.227061556329849, 0.9878048780487805, 0.3344947735191638, 0.23228803716608595, 0.22531939605110338, 0.1480836236933798]"
95,"[0.22938443670150988, 0.9878048780487805, 0.3362369337979094, 0.22764227642276422, 0.22938443670150988, 0.148664343786295]"
96,"[0.2305458768873403, 0.9878048780487805, 0.3362369337979094, 0.21951219512195122, 0.23170731707317074, 0.14982578397212543]"
97,"[0.23344947735191637, 0.9878048780487805, 0.335075493612079, 0.21660859465737514, 0.23344947735191637, 0.16492450638792103]"
98,"[0.25435540069686413, 0.9878048780487805, 0.335075493612079, 0.21544715447154472, 0.23519163763066203, 0.16666666666666666]"
99,"[0.27119628339140534, 0.991869918699187, 0.3362369337979094, 0.21544715447154472, 0.24680603948896632, 0.1672473867595819]"
100,"[0.27526132404181186, 0.991869918699187, 0.33681765389082463, 0.21602787456445993, 0.24854819976771197, 0.1678281068524971]"
101,"[0.3083623693379791, 0.991869918699187, 0.33681765389082463, 0.22764227642276422, 0.24680603948896632, 0.1678281068524971]"
102,"[0.3310104529616725, 0.991869918699187, 0.33681765389082463, 0.23228803716608595, 0.2456445993031359, 0.16840882694541232]"
103,"[0.3315911730545877, 0.991869918699187, 0.33681765389082463, 0.23344947735191637, 0.24448315911730545, 0.1678281068524971]"
104,"[0.3339140534262485, 0.991869918699187, 0.33681765389082463, 0.2311265969802555, 0.23519163763066203, 0.16840882694541232]"
105,"[0.3327526132404181, 0.991869918699187, 0.33681765389082463, 0.22996515679442509, 0.23228803716608595, 0.1678281068524971]"
106,"[0.31068524970963995, 0.991869918699187, 0.33855981416957026, 0.21428571428571427, 0.23286875725900116, 0.1672473867595819]"
107,"[0.2961672473867596, 0.991869918699187, 0.3397212543554007, 0.21254355400696864, 0.23344947735191637, 0.1672473867595819]"
108,"[0.29849012775842043, 0.991869918699187, 0.3408826945412311, 0.21138211382113822, 0.23344947735191637, 0.16608594657375145]"
109,"[0.29849012775842043, 0.991869918699187, 0.35830429732868757, 0.21196283391405343, 0.23286875725900116, 0.16608594657375145]"
110,"[0.29849012775842043, 0.991869918699187, 0.359465737514518, 0.21196283391405343, 0.23228803716608595, 0.16608594657375145]"
111,"[0.2961672473867596, 0.991869918699187, 0.359465737514518, 0.22067363530778164, 0.23519163763066203, 0.16492450638792103]"
112,"[0.2955865272938444, 0.991869918699187, 0.359465737514518, 0.22415795586527293, 0.23519163763066203, 0.16260162601626016]"
