,acc
74,"[0.18699186991869918, 0.983739837398374, 0.3832752613240418, 0.194541231126597, 0.22473867595818817, 0.16492450638792103]"
75,"[0.18815331010452963, 0.983739837398374, 0.3832752613240418, 0.194541231126597, 0.22415795586527293, 0.16492450638792103]"
76,"[0.19047619047619047, 0.983739837398374, 0.3826945412311266, 0.19337979094076654, 0.22473867595818817, 0.16492450638792103]"
77,"[0.19279907084785133, 0.9796747967479674, 0.3832752613240418, 0.19337979094076654, 0.22415795586527293, 0.16376306620209058]"
78,"[0.194541231126597, 0.9796747967479674, 0.3832752613240418, 0.19396051103368175, 0.22415795586527293, 0.16318234610917537]"
79,"[0.1991869918699187, 0.975609756097561, 0.38385598141695704, 0.1951219512195122, 0.22415795586527293, 0.16260162601626016]"
80,"[0.1986062717770035, 0.975609756097561, 0.38385598141695704, 0.19686411149825783, 0.22473867595818817, 0.16318234610917537]"
81,"[0.1997677119628339, 0.975609756097561, 0.38443670150987225, 0.19686411149825783, 0.22531939605110338, 0.16260162601626016]"
82,"[0.1991869918699187, 0.975609756097561, 0.38501742160278746, 0.19802555168408828, 0.2259001161440186, 0.16318234610917537]"
83,"[0.1997677119628339, 0.967479674796748, 0.38501742160278746, 0.1986062717770035, 0.2259001161440186, 0.16318234610917537]"
84,"[0.2032520325203252, 0.9634146341463414, 0.38559814169570267, 0.1991869918699187, 0.2264808362369338, 0.16202090592334495]"
85,"[0.20092915214866433, 0.9634146341463414, 0.3873403019744483, 0.20150987224157957, 0.227061556329849, 0.16202090592334495]"
86,"[0.20499419279907086, 0.9634146341463414, 0.3873403019744483, 0.20441347270615565, 0.22822299651567945, 0.16260162601626016]"
87,"[0.20615563298490128, 0.9634146341463414, 0.3873403019744483, 0.20499419279907086, 0.22764227642276422, 0.16260162601626016]"
88,"[0.2038327526132404, 0.9634146341463414, 0.3873403019744483, 0.2073170731707317, 0.227061556329849, 0.16202090592334495]"
89,"[0.2067363530778165, 0.9634146341463414, 0.3873403019744483, 0.20789779326364694, 0.2264808362369338, 0.16144018583042974]"
90,"[0.20905923344947736, 0.967479674796748, 0.3879210220673635, 0.2073170731707317, 0.22764227642276422, 0.16144018583042974]"
91,"[0.21428571428571427, 0.967479674796748, 0.3879210220673635, 0.20847851335656215, 0.22764227642276422, 0.16144018583042974]"
92,"[0.22009291521486643, 0.9634146341463414, 0.38559814169570267, 0.21080139372822299, 0.22822299651567945, 0.16085946573751453]"
93,"[0.2218350754936121, 0.9715447154471545, 0.38559814169570267, 0.21138211382113822, 0.22822299651567945, 0.16260162601626016]"
94,"[0.22764227642276422, 0.975609756097561, 0.38559814169570267, 0.21254355400696864, 0.22938443670150988, 0.16202090592334495]"
95,"[0.23286875725900116, 0.9796747967479674, 0.38501742160278746, 0.21370499419279906, 0.22996515679442509, 0.16144018583042974]"
96,"[0.23925667828106853, 0.9796747967479674, 0.38443670150987225, 0.21428571428571427, 0.2305458768873403, 0.16144018583042974]"
97,"[0.2508710801393728, 0.9796747967479674, 0.38443670150987225, 0.21428571428571427, 0.23170731707317074, 0.16144018583042974]"
98,"[0.2619047619047619, 0.975609756097561, 0.38153310104529614, 0.21544715447154472, 0.23170731707317074, 0.16085946573751453]"
99,"[0.2677119628339141, 0.975609756097561, 0.38153310104529614, 0.21602787456445993, 0.23170731707317074, 0.16085946573751453]"
100,"[0.2764227642276423, 0.9796747967479674, 0.38153310104529614, 0.21602787456445993, 0.23170731707317074, 0.1602787456445993]"
101,"[0.28339140534262486, 0.975609756097561, 0.3797909407665505, 0.21718931475029035, 0.23170731707317074, 0.1602787456445993]"
102,"[0.29210220673635306, 0.9796747967479674, 0.3786295005807201, 0.21718931475029035, 0.2311265969802555, 0.1602787456445993]"
103,"[0.3008130081300813, 0.9796747967479674, 0.37746806039488967, 0.21660859465737514, 0.23170731707317074, 0.15911730545876887]"
104,"[0.3083623693379791, 0.9796747967479674, 0.3780487804878049, 0.21428571428571427, 0.23170731707317074, 0.15911730545876887]"
105,"[0.313588850174216, 0.9796747967479674, 0.37688734030197446, 0.2148664343786295, 0.23228803716608595, 0.15911730545876887]"
106,"[0.32171893147502906, 0.975609756097561, 0.37688734030197446, 0.21370499419279906, 0.22996515679442509, 0.1602787456445993]"
107,"[0.3315911730545877, 0.975609756097561, 0.37630662020905925, 0.21370499419279906, 0.22880371660859466, 0.1602787456445993]"
108,"[0.33914053426248547, 0.9796747967479674, 0.37630662020905925, 0.21602787456445993, 0.22996515679442509, 0.16085946573751453]"
109,"[0.3501742160278746, 0.9796747967479674, 0.37688734030197446, 0.21602787456445993, 0.22938443670150988, 0.16085946573751453]"
110,"[0.35714285714285715, 0.9796747967479674, 0.37746806039488967, 0.21544715447154472, 0.2305458768873403, 0.1602787456445993]"
111,"[0.3629500580720093, 0.9796747967479674, 0.37746806039488967, 0.21254355400696864, 0.23170731707317074, 0.1602787456445993]"
112,"[0.3641114982578397, 0.9796747967479674, 0.37746806039488967, 0.21196283391405343, 0.23170731707317074, 0.16085946573751453]"
113,"[0.36875725900116146, 0.9796747967479674, 0.37746806039488967, 0.21254355400696864, 0.23170731707317074, 0.16260162601626016]"
114,"[0.3722415795586527, 0.9796747967479674, 0.3780487804878049, 0.21138211382113822, 0.23170731707317074, 0.16434378629500582]"
115,"[0.37688734030197446, 0.975609756097561, 0.37746806039488967, 0.21312427409988385, 0.2311265969802555, 0.16376306620209058]"
116,"[0.38559814169570267, 0.975609756097561, 0.37746806039488967, 0.21602787456445993, 0.23170731707317074, 0.16318234610917537]"
117,"[0.3914053426248548, 0.975609756097561, 0.37688734030197446, 0.21718931475029035, 0.23228803716608595, 0.16434378629500582]"
118,"[0.39547038327526135, 0.975609756097561, 0.37688734030197446, 0.21660859465737514, 0.23344947735191637, 0.16376306620209058]"
119,"[0.40418118466898956, 0.975609756097561, 0.3780487804878049, 0.2183507549361208, 0.23344947735191637, 0.16376306620209058]"
120,"[0.41114982578397213, 0.975609756097561, 0.3792102206736353, 0.218931475029036, 0.23403019744483158, 0.16666666666666666]"
121,"[0.42044134727061555, 0.975609756097561, 0.3792102206736353, 0.218931475029036, 0.23519163763066203, 0.16666666666666666]"
122,"[0.429732868757259, 0.9796747967479674, 0.3797909407665505, 0.22357723577235772, 0.23867595818815332, 0.16550522648083624]"
123,"[0.43205574912891986, 0.9796747967479674, 0.3797909407665505, 0.22764227642276422, 0.23983739837398374, 0.1678281068524971]"
124,"[0.43960511033681765, 0.9796747967479674, 0.3792102206736353, 0.22938443670150988, 0.23925667828106853, 0.1672473867595819]"
125,"[0.4465737514518002, 0.9796747967479674, 0.3786295005807201, 0.23228803716608595, 0.23809523809523808, 0.1672473867595819]"
