,acc
130,"[0.18815331010452963, 0.9796747967479674, 0.3617886178861789, 0.25551684088269455, 0.23693379790940766, 0.14518002322880372]"
131,"[0.18815331010452963, 0.9796747967479674, 0.3606271777003484, 0.27293844367015097, 0.23751451800232287, 0.14634146341463414]"
132,"[0.18815331010452963, 0.9796747967479674, 0.3600464576074332, 0.27409988385598144, 0.23751451800232287, 0.16666666666666666]"
133,"[0.18815331010452963, 0.983739837398374, 0.3606271777003484, 0.27526132404181186, 0.23867595818815332, 0.1672473867595819]"
134,"[0.18815331010452963, 0.983739837398374, 0.3606271777003484, 0.27526132404181186, 0.2572590011614402, 0.1672473867595819]"
135,"[0.18815331010452963, 0.983739837398374, 0.3600464576074332, 0.27526132404181186, 0.2572590011614402, 0.1678281068524971]"
136,"[0.18815331010452963, 0.983739837398374, 0.33914053426248547, 0.27584204413472707, 0.2578397212543554, 0.1678281068524971]"
137,"[0.18815331010452963, 0.9878048780487805, 0.3554006968641115, 0.2781649245063879, 0.2601626016260163, 0.1678281068524971]"
138,"[0.18815331010452963, 0.9878048780487805, 0.35830429732868757, 0.2781649245063879, 0.259581881533101, 0.15040650406504066]"
139,"[0.18815331010452963, 0.9878048780487805, 0.35830429732868757, 0.2781649245063879, 0.259581881533101, 0.16608594657375145]"
140,"[0.18815331010452963, 0.9878048780487805, 0.3588850174216028, 0.2590011614401858, 0.259581881533101, 0.16608594657375145]"
141,"[0.18815331010452963, 0.9878048780487805, 0.359465737514518, 0.2572590011614402, 0.259581881533101, 0.16550522648083624]"
142,"[0.18815331010452963, 0.9878048780487805, 0.359465737514518, 0.25667828106852497, 0.259581881533101, 0.16550522648083624]"
143,"[0.18815331010452963, 0.9878048780487805, 0.359465737514518, 0.25667828106852497, 0.2590011614401858, 0.16608594657375145]"
144,"[0.18815331010452963, 0.9878048780487805, 0.3588850174216028, 0.25609756097560976, 0.2590011614401858, 0.16608594657375145]"
145,"[0.18815331010452963, 0.9878048780487805, 0.3797909407665505, 0.25667828106852497, 0.2590011614401858, 0.16608594657375145]"
146,"[0.18815331010452963, 0.9878048780487805, 0.3803716608594657, 0.25667828106852497, 0.2590011614401858, 0.16608594657375145]"
147,"[0.18815331010452963, 0.9878048780487805, 0.38153310104529614, 0.25667828106852497, 0.2590011614401858, 0.16608594657375145]"
148,"[0.18815331010452963, 0.9878048780487805, 0.38153310104529614, 0.25667828106852497, 0.2590011614401858, 0.16608594657375145]"
149,"[0.18815331010452963, 0.9878048780487805, 0.4024390243902439, 0.25667828106852497, 0.2590011614401858, 0.14692218350754935]"
