Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,8,11,0.7158336934083193
RNN-RNN,10,10,8,12,0.6015158948644242
RNN-RNN,10,10,8,13,0.4429379625074251
RNN-RNN,10,10,8,14,0.7015874959721563
RNN-RNN,10,10,8,15,0.5563758843452744
RNN-RNN,10,10,8,16,0.784541367855496
RNN-RNN,10,10,8,17,0.6549947251637003
RNN-RNN,10,10,8,18,0.5267753078188114
RNN-RNN,10,10,8,19,0.5382287041749768
RNN-RNN,10,10,8,20,0.6010370125841173
RNN-RNN,10,10,8,21,0.7362098941032251
RNN-RNN,10,10,8,22,0.6874039120370049
RNN-RNN,10,10,8,23,0.675725076499017
RNN-RNN,10,10,8,24,0.8135943753842549
RNN-RNN,10,10,8,25,0.712630391025705
RNN-RNN,10,10,8,26,0.7411088262458256
RNN-RNN,10,10,8,27,0.703287911238273
RNN-RNN,10,10,8,28,0.41356931239030564
RNN-RNN,10,10,8,29,0.4734419798266114
RNN-RNN,10,10,8,30,0.549927650047418
RNN-RNN,10,10,9,0,0.7967310093384499
RNN-RNN,10,10,9,1,0.39711888600003103
RNN-RNN,10,10,9,2,0.6804653878635054
RNN-RNN,10,10,9,3,0.6628377146007849
RNN-RNN,10,10,9,4,0.652125253428347
RNN-RNN,10,10,9,5,0.7219690312026292
RNN-RNN,10,10,9,6,0.5793216138211728
RNN-RNN,10,10,9,7,0.6931165493906355
RNN-RNN,10,10,9,8,0.6641305316233197
RNN-RNN,10,10,9,10,0.748195958073038
RNN-RNN,10,10,9,11,0.6252810020252906
RNN-RNN,10,10,9,12,0.6368459798362955
RNN-RNN,10,10,9,13,0.13381548528370818
RNN-RNN,10,10,9,14,0.6057674233356056
RNN-RNN,10,10,9,15,0.6595360471226603
RNN-RNN,10,10,9,16,0.5525826138845537
RNN-RNN,10,10,9,17,0.7342065307705703
RNN-RNN,10,10,9,18,0.6980556991568995
RNN-RNN,10,10,9,19,0.7129308819731601
RNN-RNN,10,10,9,20,0.8150270682704973
RNN-RNN,10,10,9,21,0.7991897387153599
RNN-RNN,10,10,9,22,0.7061150291687428
RNN-RNN,10,10,9,23,0.6190469804229233
RNN-RNN,10,10,9,24,0.7505826795201328
