,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
18,GRUA,50,50,15.0,1.1843516129032259,0.042135483870967744,0.05594516129032258,3.5163451612903223,0.13813870967741937,-0.017022580645161288,0.04639032258064516,0.03406451612903226,6.096774193548387,8.258064516129032,14.35483870967742,3.193548387096774,3.2580645161290325,5.548387096774194,0.7722935483870967,0.7329774193548387,3.193548387096774
19,GRUA,50,55,15.0,0.9567064516129032,0.03337096774193548,0.043529032258064516,3.2778161290322583,0.12199354838709678,-0.014841935483870968,0.03863870967741936,0.030103225806451615,5.516129032258065,6.387096774193548,11.903225806451612,2.225806451612903,3.838709677419355,5.935483870967742,0.3092967741935484,0.6979516129032258,2.225806451612903
20,LSTM,10,10,15.0,11.335993548387096,0.471858064516129,0.3630322580645161,3.4778225806451615,0.972432258064516,-0.0031516129032258065,0.48314516129032253,0.4937967741935484,5.935483870967742,5.419354838709677,11.35483870967742,1.032258064516129,1.6774193548387097,9.290322580645162,0.11172903225806452,0.14166774193548387,1.032258064516129
21,LSTM,10,15,15.0,10.878648387096776,0.4531612903225806,0.35944193548387093,3.4470709677419356,0.9420870967741936,-0.0007129032258064516,0.4730451612903226,0.4867290322580645,5.838709677419355,5.225806451612903,11.064516129032258,0.9354838709677419,1.8709677419354838,9.193548387096774,0.10820967741935483,0.1488741935483871,0.9354838709677419
22,LSTM,20,20,15.0,10.356180645161292,0.42623225806451615,0.3525838709677419,3.501161290322581,0.9473838709677419,-0.011548387096774193,0.4364483870967742,0.4358354838709677,5.645161290322581,5.806451612903226,11.451612903225806,1.1935483870967742,1.7419354838709677,9.064516129032258,0.1223774193548387,0.15516129032258064,1.1935483870967742
23,LSTM,20,25,15.0,10.756770967741936,0.4450774193548387,0.35382580645161293,3.5280032258064518,0.9752000000000001,-0.007996774193548387,0.47571935483870964,0.430058064516129,5.709677419354839,5.967741935483871,11.67741935483871,1.7741935483870968,2.096774193548387,8.129032258064516,0.20664193548387097,0.31822903225806454,1.7741935483870968
24,LSTM,30,30,15.0,10.5761,0.4395193548387097,0.34156129032258065,3.611190322580645,0.9488387096774195,-0.005129032258064516,0.44395806451612907,0.40810967741935483,6.258064516129032,6.129032258064516,12.387096774193548,1.967741935483871,1.5806451612903225,8.451612903225806,0.2364548387096774,0.32831612903225804,1.967741935483871
25,LSTM,30,35,15.0,10.628751612903226,0.4402709677419355,0.3598516129032258,3.6112129032258062,0.948141935483871,-0.0097,0.4348290322580645,0.42583548387096776,6.32258064516129,6.032258064516129,12.35483870967742,1.7096774193548387,1.3548387096774193,8.935483870967742,0.1972290322580645,0.2634387096774194,1.7096774193548387
26,LSTM,40,40,15.0,10.315306451612903,0.4256870967741936,0.34936774193548387,3.574732258064516,0.9505387096774194,-0.016103225806451613,0.43069032258064516,0.41797741935483873,5.774193548387097,6.290322580645161,12.064516129032258,2.096774193548387,2.032258064516129,7.870967741935484,0.2633774193548387,0.41143870967741936,2.096774193548387
27,LSTM,40,45,15.0,10.44625806451613,0.4309741935483871,0.34508064516129033,3.5560967741935485,0.9515677419354839,-0.014861290322580645,0.4417838709677419,0.4144838709677419,6.354838709677419,5.612903225806452,11.96774193548387,1.7419354838709677,1.7741935483870968,8.483870967741936,0.2005548387096774,0.2619806451612903,1.7419354838709677
