,Model Identifier,Matrix
41,RNNA-10-10-10,"[[ 0.03819217  0.          0.13178427  0.15051147 -0.01276299  0.14647818
  -0.0034419   0.09526943  0.13933315 -0.02216051  0.03819217  0.14669185]
 [ 0.13061662  0.22438543  0.10267711  0.          0.22438543  0.06085263
   0.20345275  0.00152883  0.09330376  0.22438543  0.1328519   0.01694904]]"
42,RNNA-10-10-11,"[[-0.01047357  0.28921256  0.348634    0.09702321  0.40060652  0.05051216
   0.25269772  0.01174936  0.07082233  0.03775484  0.          0.07682767]
 [ 0.36491907  0.00114475  0.04746456  0.18622064  0.02613915  0.35203084
   0.          0.36491907  0.23809643  0.36491907  0.29783812  0.22313137]]"
43,RNNA-10-10-12,"[[ 0.03100068  0.09723174  0.04258749 -0.00104666 -0.00763096  0.13212663
   0.          0.03100068  0.03100068  0.04258749  0.06393564  0.03100068]
 [ 0.7270576   0.3251731   0.70864706  0.09041797  0.38648902  0.01431642
   0.          0.7270576   0.70864706  0.70864706  0.50359665  0.69277094]]"
44,RNNA-10-10-13,"[[0.3345626  0.26278106 0.14728678 0.19150227 0.         0.39490705
  0.         0.19150227 0.23699919 0.3345626  0.44578419 0.19150227]
 [0.69387604 0.50736361 0.22884454 0.43638446 0.8410975  0.09397746
  0.8410975  0.40393334 0.0211756  0.15991698 0.         0.44859314]]"
45,RNNA-10-10-14,"[[ 0.38564075  0.2411327   0.1743364   0.40564075 -0.02492973 -0.0182308
   0.40564075  0.38564075  0.44088497  0.10405113  0.42153429  0.        ]
 [ 0.0481781  -0.04292073  0.06859654 -0.09868137 -0.08113778 -0.02773074
   0.          0.0481781  -0.09846478 -0.09868137 -0.09856421 -0.07571708]]"
46,RNNA-10-10-15,"[[1.17461249e-01 8.33545069e-01 0.00000000e+00 2.16710773e-04
  4.25144864e-01 5.17329696e-01 8.54340863e-01 2.23124443e-01
  1.30588359e-02 3.12672833e-01 8.54340863e-01 6.11463779e-01]
 [6.14284669e-01 0.00000000e+00 6.63090514e-01 6.14284669e-01
  3.38112449e-01 3.00816418e-01 2.12902758e-02 4.56857130e-01
  6.14284669e-01 5.46086478e-01 3.06197107e-02 1.12906459e-01]]"
47,RNNA-10-10-16,"[[-0.05988318  0.01618935 -0.06518623 -0.06685019  0.09883598  0.
   0.1492898  -0.05205655 -0.06685019  0.01618935  0.01618935 -0.02515864]
 [ 0.41042133  0.30089044  0.          0.54795729  0.18329864  0.5640537
   0.10006962  0.5640537   0.00925804  0.24930838  0.45276135  0.50837573]]"
48,RNNA-10-10-17,"[[0.62028378 0.6849914  0.278012   0.63431707 0.32539207 0.42022078
  0.93470279 0.43607334 0.14490927 0.70753351 0.         0.07230832]
 [0.61704502 0.10934833 0.43929994 0.15551843 0.42522428 0.53918171
  0.         0.33390839 0.66724052 0.08768614 0.68405476 0.66724052]]"
49,RNNA-10-10-18,"[[ 0.01484704  0.03692479  0.00809513 -0.00258652  0.03803848  0.00809513
   0.03692479  0.03692479  0.00235212  0.03692479  0.03692479  0.        ]
 [ 0.2754325   0.26154127  0.23836304  0.2748848   0.          0.23725712
   0.2788469   0.26154127  0.25257365  0.09337245  0.27377394  0.24958952]]"
50,RNNA-10-10-19,"[[0.04500703 0.04500703 0.04500703 0.05420387 0.04500703 0.04045703
  0.04500703 0.04500703 0.04500703 0.04440573 0.04500703 0.        ]
 [0.10067635 0.041678   0.10067635 0.10067635 0.10067635 0.10067635
  0.10067635 0.10067635 0.         0.06593747 0.10067635 0.10067635]]"
