,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
31,RNNA,10,10,0,9.151487436022855,0.3673163942376905,0.3340905098440015,3.961941893795341,0.9971769780935222,-0.09005445286371394,0.36731639423769047,12,0.5,1.0,2.008444331596059
32,RNNA,10,10,1,9.016435850573778,0.3725617277385753,0.33474060871824274,3.940388622608463,0.9948273929467089,-0.018738596211992586,0.5411401795656287,6,0.0,0.0,1.856716610066381
33,RNNA,10,10,2,9.788847140765348,0.39171773298408813,0.3636679938944116,3.9300837137566114,0.9660973944575524,-0.09690538728680842,0.5375114002629422,7,0.0,0.0,2.113053502024281
34,RNNA,10,10,3,9.541807298380485,0.38391880652196053,0.3567379727202989,3.9253784939498946,1.0000000000000004,-0.08665471805472214,0.5267120876425886,7,0.0,0.0,2.0653120695799343
35,RNNA,10,10,4,8.918510957568369,0.3673236745984299,0.35297795538283827,3.854098981471107,0.994803254062083,-0.017123794534342096,0.5130260453279233,7,0.0,0.0,1.7553289888306032
36,RNNA,10,10,5,9.162442795876478,0.3808914389960359,0.3235673637359113,3.985072839224598,0.992727145738507,-0.010524129985808095,0.38089143899603584,12,0.5,1.0,2.336646768484611
37,RNNA,10,10,6,9.935392841610167,0.40038595808573185,0.33185035488704634,4.037715279130047,0.9926203369018811,-0.0867489030330435,0.5251041166960628,7,0.0,0.0,2.2366722953524474
38,RNNA,10,10,7,9.809055508807317,0.39472645109629806,0.37669538294303934,3.9002593303801447,0.9958530656054969,-0.08837253205495221,0.5468595863186954,7,0.0,0.0,2.1221423904847194
39,RNNA,10,10,8,8.94653063187161,0.363490282433293,0.3448918615998195,3.9032469834900425,0.9997113262447912,-0.06640261765918742,0.5027232673928347,7,0.0,0.0,1.9282527343118545
40,RNNA,10,10,9,9.60833465754137,0.39742347228367425,0.32146871467404803,4.047826344041639,0.9969533398344654,-0.035085661366593524,0.374930622740846,13,0.5,0.8,2.5041613682702186
41,RNNA,10,10,10,9.354033632264027,0.3846789851702665,0.3580505710316396,3.8734656328534554,0.9661611075824839,-0.022746554017971654,0.5303643312997545,7,0.0,0.0,1.5688507259587627
42,RNNA,10,10,11,8.48265387691735,0.3505990889062529,0.3453097135215198,3.835584624564439,0.9943385540920704,-0.011379290527880226,0.5296792097849029,6,0.0,0.0,1.3650934977824458
43,RNNA,10,10,12,9.146590079239743,0.3622564845625802,0.3414192737429203,3.9473713226843055,0.992727145738507,-0.11951141779027274,0.4959339281348675,7,0.0,0.0,1.9358375664262621
44,RNNA,10,10,13,10.187788739035538,0.40328274072124887,0.3473582781363114,4.01894238001512,0.9925876324825254,-0.13484994148541452,0.5681751208859583,6,0.0,0.0,2.4568776872705107
45,RNNA,10,10,14,8.660239878589978,0.3594279448924402,0.30514848199651057,3.9966730882679284,0.9132007025073992,-0.016984600585707277,0.4817342236259604,7,0.0,0.0,2.0276599654032297
46,RNNA,10,10,15,9.27698538432626,0.38481945112717614,0.34274762954358484,3.9527288356749413,0.9973775003360505,-0.020659278637015444,0.5214618913867606,7,0.0,0.0,1.7976311165902228
47,RNNA,10,10,16,9.596460645328131,0.3971920061259983,0.3322787339950868,3.98854462657208,0.9919291690874301,-0.03192624915208597,0.39719200612599825,12,0.5,1.0,2.2941150564690327
48,RNNA,10,10,17,9.333695381574236,0.38649339270631566,0.35069244996735693,3.9183549404979265,0.9997103988399743,-0.0096423261037768,0.5642203240820468,6,0.0,0.0,1.8539252569262268
49,RNNA,10,10,18,10.649460900179891,0.440380549483175,0.32248257317331414,4.0984586990708225,0.9894671871310927,-0.02067119264244255,0.37060528055880154,15,0.7142857142857143,1.0,3.1539256179020936
50,RNNA,10,10,19,9.085718860671655,0.3757901428835307,0.34234523833448177,3.9013821176642614,0.9956646723926847,-0.016688857866729467,0.3757901428835307,12,0.3333333333333333,0.5,1.7381526224331614
51,RNNA,10,10,20,8.741930999201422,0.35470469722133124,0.361201336066252,3.8072529413855616,0.994020696384029,-0.03816971098157884,0.5038723308267012,7,0.0,0.0,1.366011997179411
