Kind,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage_by20,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20
GRUA,11,29.3718,0.367,0.2722,0.8112,-0.0043,0.4155,0.3725,0.354,0.3561,13,9,7,9,38,2,5,3,10,0.003875,1.0,0.0,0.75,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.75,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.75
GRUA,12,25.5883,0.3199,0.2429,0.8112,0.0,0.3751,0.3499,0.3234,0.2713,12,7,9,9,37,6,6,0,12,0.00375,0.5,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.5,0.5
GRUA,13,30.8242,0.3853,0.2763,0.7763,0.0,0.4502,0.3471,0.3609,0.4083,13,10,8,8,39,5,5,2,12,0.004125,0.75,0.0,0.75,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.0,1.0,0.0
GRUA,14,28.2235,0.3528,0.2848,0.8113,0.0,0.4057,0.3872,0.3929,0.3569,11,8,8,8,35,3,3,3,9,0.003375,1.0,1.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.75,0.0,0.75,1.0
GRUA,15,24.9906,0.3122,0.2683,0.8103,-0.0063,0.4072,0.3579,0.3109,0.3038,13,7,7,6,33,5,5,0,10,0.003125,0.75,0.0,0.75,0.5,0.0,0.75,0.5,0.0,0.5,0.0,0.5,0.75,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0
GRUA,16,27.2705,0.3409,0.2886,0.8112,0.0,0.408,0.3564,0.3801,0.3597,13,7,7,7,34,3,4,2,9,0.00325,0.75,0.0,0.0,0.0,0.75,0.75,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.75,0.0,0.0,1.0,0.5,0.0,0.0
GRUA,17,22.9773,0.2871,0.2475,0.7561,-0.0037,0.4286,0.2932,0.2766,0.2604,13,6,7,7,33,3,4,1,8,0.00275,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.5,0.0,0.5,0.5,0.0,0.0
GRUA,18,27.1401,0.3393,0.258,0.7366,0.0,0.377,0.3454,0.3056,0.3512,11,9,10,9,39,8,6,0,14,0.00425,0.75,0.5,0.0,0.75,0.0,0.75,0.5,0.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.0,0.5
GRUA,19,25.5962,0.3195,0.2778,0.7853,-0.0111,0.4094,0.3569,0.324,0.3524,11,8,7,7,33,5,5,0,10,0.003125,0.0,0.5,0.0,0.0,0.5,0.75,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.0,0.75,0.0,0.75,0.75,0.0,0.0
GRUA,20,26.6858,0.3336,0.2597,0.8108,0.0,0.3977,0.3445,0.3042,0.3525,11,9,9,8,37,6,2,3,11,0.00375,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.75,0.5,1.0,0.0,0.5,1.0,0.75,0.5,0.0,0.0,0.5,0.5
GRUA,21,29.1475,0.3643,0.2741,0.811,-0.0018,0.4254,0.3499,0.3032,0.3829,14,9,8,8,39,4,5,2,11,0.003875,0.75,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.0,0.5,0.75,0.5,0.0
GRUA,22,24.515,0.3063,0.2503,0.811,-0.0069,0.4261,0.3208,0.2323,0.284,11,8,12,7,38,8,3,2,13,0.004125,0.75,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.75,0.0,0.5,0.5,0.0,0.75,0.0,0.5,0.5
