Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
RNNA,10,10,20,9.414,0.3922,0.3319,3.585,0.9953,0.0,0.2956,0.5592,9,3,12,0,0,12,0.0,0.0,1.1082
RNNA,10,10,21,4.3283,0.1784,0.1486,3.7004,0.4626,-0.0139,0.1359,0.205,7,6,13,4,3,5,0.5,0.8,1.1934
RNNA,10,10,22,9.1207,0.38,0.2703,3.585,0.7134,0.0,0.3398,0.4001,8,4,12,0,0,12,0.0,0.0,1.6345
RNNA,10,10,23,2.3432,0.0955,0.1056,3.3219,0.312,-0.0104,0.1659,0.0344,6,4,10,3,5,4,0.3333,0.75,0.269
RNNA,10,10,24,11.2336,0.4681,0.3124,3.585,0.989,0.0,0.6046,0.3574,4,8,12,0,0,12,0.0,0.0,2.496
RNNA,10,10,25,4.5222,0.1728,0.2356,3.4594,0.7601,-0.0471,0.3718,0.0506,4,7,11,0,1,11,0.0,0.0,0.5117
RNNA,10,10,26,2.8034,0.1168,0.0872,3.8074,0.2778,0.0,0.1366,0.0741,7,7,14,5,3,4,0.7143,1.25,0.827
RNNA,10,10,27,10.0485,0.4187,0.3015,3.8074,0.8767,0.0,0.399,0.3479,7,7,14,3,1,8,0.3333,0.375,2.4729
RNNA,10,10,28,3.9005,0.1225,0.2346,3.585,0.5727,-0.1027,0.3145,-0.0397,5,12,17,4,4,4,0.5,1.0,0.0491
RNNA,10,10,29,4.3599,0.1817,0.1383,3.585,0.3992,0.0,0.2362,0.1271,6,6,12,1,1,10,0.0909,0.1,0.8545
RNNA,10,10,30,5.1407,0.2094,0.2274,3.3219,0.7077,-0.0212,0.1018,0.4028,6,4,10,1,3,8,0.0909,0.125,0.8603
LSTM,10,10,0,10.1735,0.4239,0.3425,3.0,0.9883,0.0,0.5303,0.5321,4,4,8,0,4,8,0.0,0.0,1.6175
LSTM,10,10,1,12.4149,0.5173,0.3899,3.585,0.999,0.0,0.4891,0.5563,7,5,12,0,0,12,0.0,0.0,1.8715
LSTM,10,10,2,10.8833,0.4535,0.3562,3.1699,0.9858,0.0,0.6576,0.408,4,5,9,0,3,9,0.0,0.0,2.0958
LSTM,10,10,3,11.0223,0.4593,0.4284,3.3219,0.9997,0.0,0.5658,0.4978,6,4,10,0,2,10,0.0,0.0,0.6635
LSTM,10,10,4,12.3473,0.5145,0.3462,4.0,0.9984,0.0,0.3627,0.4603,8,8,16,4,0,8,0.5,0.5,2.7263
LSTM,10,10,5,7.7693,0.317,0.3234,3.7004,0.8641,-0.0401,0.485,0.0988,7,6,13,4,3,5,0.5,0.8,1.2471
LSTM,10,10,6,11.7041,0.4877,0.3462,3.585,1.0,0.0,0.3706,0.6291,8,4,12,2,2,8,0.2,0.25,3.1871
LSTM,10,10,7,11.6827,0.4868,0.3749,3.585,0.9386,0.0,0.3991,0.5745,6,6,12,0,0,12,0.0,0.0,1.7645
LSTM,10,10,8,9.8767,0.4115,0.2808,3.1699,0.9792,0.0,0.4663,0.4729,3,6,9,0,3,9,0.0,0.0,2.31
LSTM,10,10,9,9.0381,0.3766,0.2741,3.4594,0.889,0.0,0.4508,0.3511,5,6,11,2,3,7,0.2,0.2857,2.7511
LSTM,10,10,10,12.9832,0.541,0.3989,3.7004,0.9987,0.0,0.4567,0.5558,8,5,13,1,0,11,0.0909,0.0909,2.3175
LSTM,10,10,11,12.5163,0.5215,0.389,3.3219,0.9988,0.0,0.6257,0.5417,4,6,10,2,4,6,0.2,0.3333,3.581
LSTM,10,10,12,11.037,0.4599,0.3858,3.7004,0.9974,0.0,0.3726,0.4949,8,5,13,1,0,11,0.0909,0.0909,1.5341
LSTM,10,10,13,12.9697,0.5404,0.3814,3.8074,0.9974,0.0,0.5385,0.419,6,8,14,2,0,10,0.2,0.2,3.2528
LSTM,10,10,14,5.1001,0.2119,0.2682,3.3219,0.8824,-0.0036,0.0428,0.3898,4,6,10,0,2,10,0.0,0.0,0.4152
LSTM,10,10,15,6.9787,0.2833,0.2946,3.3219,0.7426,-0.0531,0.3847,0.2487,6,4,10,0,2,10,0.0,0.0,0.754
LSTM,10,10,16,11.6126,0.4837,0.3611,3.585,1.0,-0.0009,0.4461,0.5213,6,6,12,2,2,8,0.2,0.25,3.1116
LSTM,10,10,17,10.9531,0.4564,0.3522,3.7004,0.9648,0.0,0.4712,0.3923,7,6,13,2,1,9,0.2,0.2222,2.2243
