,Model Identifier,Matrix
29,RNN-10-10-29,"[[ 3.67110644e-01  5.61708679e-01  9.92112220e-01  3.67110644e-01
   0.00000000e+00  7.83941469e-01  9.01525720e-01  9.92112220e-01
   2.02208215e-01  7.83941469e-01  3.85403322e-01  3.67110644e-01]
 [ 1.07456142e-01  1.07456142e-01  7.13729715e-03  1.07456142e-01
   9.82965601e-03  2.31090894e-02  1.07456142e-01 -2.57697343e-04
   0.00000000e+00  2.31090894e-02  1.07456142e-01  1.07456142e-01]]"
30,RNN-10-10-30,"[[ 0.49143681  0.63453112 -0.08286492  0.68498494  0.02955631  0.63453112
   0.68498494  0.65664027 -0.07444498  0.          0.175053   -0.08286492]
 [ 0.43563603  0.14901453  0.64253394  0.07315222  0.23890957  0.04069695
   0.          0.01457195  0.64253394  0.64253394  0.43563603  0.64253394]]"
31,RNNA-10-10-0,"[[ 0.26548249  0.16689502  0.28448384  0.26548249  0.20621827  0.12796248
   0.26548249  0.26548249  0.03001857  0.22100756  0.          0.12796248]
 [ 0.05916769  0.10019787 -0.00286563  0.05916769  0.10868524  0.12332777
   0.          0.06237005  0.21263331  0.08781376  0.19121622  0.12332777]]"
32,RNNA-10-10-1,"[[ 1.49035382e-01  2.65275681e-01  2.55655513e-01  3.67632921e-01
   3.42612208e-01  5.07290857e-02  4.60647414e-01  3.24141436e-04
   2.44554032e-01  0.00000000e+00  3.29511767e-01  3.13635646e-01]
 [ 4.95979666e-01  4.54562571e-01  4.95979666e-01  3.27432136e-01
   3.89145494e-02  0.00000000e+00 -8.87047922e-02  4.95979666e-01
   4.95979666e-01 -1.00196349e-01  2.51572998e-01  3.86636342e-01]]"
33,RNNA-10-10-2,"[[ 0.37471549  0.          0.37471549  0.11686876  0.11686876  0.37471549
  -0.02462229  0.11686876  0.02844086  0.36726658  0.09513644  0.11686876]
 [-0.00400203  0.35268772  0.00473686  0.33009583  0.33009583  0.
   0.35268772  0.33009583  0.17415287  0.00907207  0.35268772  0.33009583]]"
34,RNNA-10-10-3,"[[ 0.42156973  0.41418097  0.39299799  0.18569196  0.42156973  0.32909358
   0.11259008  0.          0.25378325  0.25378325  0.26451062  0.04479037]
 [-0.01322738 -0.05151814 -0.02061613 -0.0323905  -0.01322738 -0.05151814
  -0.01962575 -0.05151814  0.08666172  0.08666172  0.          0.04731742]]"
35,RNNA-10-10-4,"[[0.39951681 0.23395526 0.10825207 0.24185348 0.38706568 0.
  0.39951681 0.17645696 0.38706568 0.04831597 0.38706568 0.38706568]
 [0.05240284 0.14930189 0.01218395 0.0546209  0.0793839  0.14930189
  0.05240284 0.14930189 0.08299657 0.14930189 0.         0.0793839 ]]"
36,RNNA-10-10-5,"[[-0.05758014 -0.05245405 -0.03097172 -0.05758014 -0.05993769 -0.05758014
   0.03933624 -0.05993769  0.08727389  0.08727389  0.          0.00556141]
 [ 0.          0.167458    0.24381272  0.38632042  0.28012249  0.3921303
   0.33704785  0.20481137  0.31076738  0.30887694  0.38148892  0.14482304]]"
37,RNNA-10-10-6,"[[ 0.10677758  0.10677758 -0.07031748  0.03781161  0.10677758 -0.10931882
  -0.01728614  0.03781161 -0.03115436 -0.04218839 -0.08374163  0.        ]
 [ 0.27023199 -0.01844161  0.41156631  0.30679312  0.05223899  0.1455151
   0.47781655  0.35023678  0.42209873  0.42294787  0.23957409  0.        ]]"
38,RNNA-10-10-7,"[[0.08878181 0.04709777 0.07870332 0.04709777 0.05096866 0.04709777
  0.04709777 0.08878181 0.00026838 0.         0.04709777 0.04955975]
 [0.01103036 0.21565594 0.21565594 0.21565594 0.16527843 0.21565594
  0.21565594 0.         0.13178161 0.09258527 0.21565594 0.1809314 ]]"
39,RNNA-10-10-8,"[[ 4.09600637e-01  1.88740930e-01  3.49054553e-01  1.61126958e-04
  -5.59329982e-03  2.18389590e-02  8.37779364e-02  8.37779364e-02
  -5.45565395e-03  1.55850880e-01  0.00000000e+00  2.02609149e-01]
 [ 6.47015782e-02  3.81614307e-01  0.00000000e+00  5.47800084e-01
   5.47800084e-01  4.64819787e-01  5.92800378e-01  5.92800378e-01
   5.47800084e-01  2.51528196e-01  5.20900524e-01  1.65480801e-01]]"
40,RNNA-10-10-9,"[[0.35756595 0.37901106 0.33876959 0.06375913 0.28705595 0.58539258
  0.20405284 0.23987152 0.12523633 0.53573456 0.         0.37901106]
 [0.31708178 0.30859915 0.33576843 0.33576843 0.14535952 0.
  0.24373043 0.21074646 0.33576843 0.03535218 0.33576843 0.29303078]]"
41,RNNA-10-10-10,"[[0.13963767 0.         0.23759056 0.26131119 0.07599853 0.24908282
  0.09893689 0.23759056 0.23759056 0.05927628 0.13963767 0.26131119]
 [0.16957418 0.14498912 0.0898044  0.         0.16044644 0.07974991
  0.16957418 0.0898044  0.0898044  0.14498912 0.12197023 0.07848227]]"
42,RNNA-10-10-11,"[[ 0.02022607  0.30110235  0.33952513  0.15035611  0.33952513  0.06175375
   0.2860046  -0.00401138  0.11153842  0.05632129  0.          0.13022507]
 [ 0.42407381  0.         -0.0100632   0.1691601   0.01196556  0.42407381
   0.04520697  0.42407381  0.23058144  0.42407381  0.3358697   0.19029388]]"
43,RNNA-10-10-12,"[[0.12093886 0.23781865 0.20302088 0.00305053 0.         0.22992044
  0.06555603 0.0907446  0.20302088 0.20302088 0.20302088 0.20302088]
 [0.62876923 0.3290001  0.49145859 0.06648401 0.36185602 0.
  0.01428538 0.58239137 0.52857985 0.48080191 0.20452855 0.53996338]]"
44,RNNA-10-10-13,"[[0.15692266 0.33959121 0.10003058 0.25256079 0.         0.33959121
  0.         0.25256079 0.36827816 0.36827816 0.53809995 0.25256079]
 [0.53013578 0.39894248 0.16261203 0.456978   0.77001509 0.31737637
  0.77001509 0.4452683  0.         0.35637771 0.02343051 0.456978  ]]"
45,RNNA-10-10-14,"[[ 0.39197623  0.39197623  0.31314725  0.44175329  0.02724735  0.
   0.44175329 -0.0372109   0.48317038 -0.0071224   0.48317038  0.17869882]
 [ 0.1671713   0.         -0.04218113 -0.01414212  0.17243853 -0.05473736
  -0.01414212  0.1671713  -0.02104168  0.00430242 -0.02104168  0.13125885]]"
46,RNNA-10-10-15,"[[ 2.32970544e-01  8.50434298e-01  7.90815476e-02 -1.60839563e-02
   3.70437245e-01  3.56186525e-01  8.50434298e-01  2.03988850e-01
   0.00000000e+00  4.63643305e-01  8.50434298e-01  5.85110376e-01]
 [ 3.84575729e-01  0.00000000e+00  4.34407668e-01  4.02767634e-01
   1.59852695e-01  1.68946065e-01 -5.65346635e-04  3.00246526e-01
   4.02767634e-01  3.44241112e-01 -9.04586531e-03  1.05218841e-01]]"
47,RNNA-10-10-16,"[[ 0.00351565  0.00351565 -0.02485694 -0.02321406  0.10607026  0.
   0.12848781 -0.01158698 -0.02485694  0.00980756  0.00351565  0.03564734]
 [ 0.30210552  0.16932851  0.30210552  0.00165339  0.31495424  0.39750432
   0.2330422   0.39750432  0.30210552  0.19857881  0.          0.39750432]]"
48,RNNA-10-10-17,"[[0.10440243 0.66792989 0.34251498 0.65359027 0.34251498 0.40258664
  0.88265443 0.40258664 0.25755567 0.67575652 0.         0.        ]
 [0.79983432 0.15734298 0.44422892 0.18637475 0.44422892 0.55203512
  0.         0.40585336 0.67705501 0.14369113 0.79983432 0.79983432]]"
49,RNNA-10-10-18,"[[ 0.03311909  0.05124973 -0.02430011  0.01872259  0.05318851  0.01872259
   0.03311909  0.05124973 -0.00656791  0.06481697  0.05124973  0.        ]
 [ 0.39440189  0.3567976   0.2250423   0.39440189  0.          0.2250423
   0.37343148  0.3567976   0.29160974  0.03930197  0.3567976   0.26838761]]"
50,RNNA-10-10-19,"[[0.05428433 0.05428433 0.05428433 0.07022061 0.05428433 0.05093845
  0.05428433 0.05428433 0.05428433 0.03615369 0.05428433 0.        ]
 [0.11351011 0.11351011 0.11351011 0.11351011 0.11351011 0.05537716
  0.11351011 0.07343771 0.11351011 0.11351011 0.11351011 0.        ]]"
51,RNNA-10-10-20,"[[ 0.46397951  0.47676313 -0.03281138 -0.03281138  0.50575403  0.41507562
   0.46397951  0.46397951  0.          0.50575403  0.47676313  0.50575403]
 [ 0.04680645  0.          0.9369818   0.82999543  0.14462044  0.29680324
   0.04680645  0.04680645  0.9369818   0.13007931  0.08011089  0.03369167]]"
52,RNNA-10-10-21,"[[ 0.07827518  0.39578244  0.          0.29432203  0.24642547  0.22058569
   0.22058569  0.22058569  0.39578244  0.06310209 -0.00560227  0.26094135]
 [ 0.00426713  0.17187997  0.          0.40681524  0.48675247  0.58055159
   0.58055159  0.58055159  0.17187997  0.0043062   0.02956947  0.45630031]]"
53,RNNA-10-10-22,"[[0.87078826 0.99503954 0.76351171 0.05178023 0.65211775 0.0054079
  0.07293284 0.99503954 0.99503954 0.99503954 0.         0.4125522 ]
 [0.31605265 0.39956899 0.10517134 0.602652   0.06651696 0.51952578
  0.67368603 0.40226374 0.15101373 0.         0.57735875 0.23796034]]"
54,RNNA-10-10-23,"[[0.13481999 0.16658201 0.15763013 0.12354111 0.         0.16658201
  0.07498221 0.03835172 0.17133779 0.03835172 0.18167976 0.10831532]
 [0.05733377 0.07064245 0.00323739 0.12771557 0.05733377 0.00323739
  0.         0.08640009 0.07112104 0.0903622  0.03554087 0.11526445]]"
55,RNNA-10-10-24,"[[0.99535491 0.33872041 0.41262517 0.         0.99535491 0.83716301
  0.02931551 0.13735353 0.18699723 0.51694647 0.99535491 0.02315651]
 [0.1898001  0.73237051 0.39845994 0.73237051 0.         0.10194112
  0.69114098 0.65378761 0.61174864 0.5191807  0.         0.73237051]]"
56,RNNA-10-10-25,"[[ 0.12295219  0.7261963   0.04448572  0.7261963   0.26683277  0.02373813
   0.          0.65095207  0.02373813  0.40820548  0.08058213  0.67929674]
 [ 0.25941526  0.06823707 -0.01471362  0.1623202   0.          0.09225738
   0.25941526  0.07452666  0.09225738  0.25941526  0.25941526  0.00693288]]"
57,RNNA-10-10-26,"[[0.33318772 0.04119363 0.07488712 0.06679818 0.33318772 0.20364154
  0.18153239 0.27493731 0.23119041 0.02545476 0.28232606 0.        ]
 [0.12235393 0.         0.1586111  0.15654304 0.08700428 0.15250676
  0.15098973 0.12235393 0.15250676 0.14958082 0.13522595 0.14958082]]"
58,RNNA-10-10-27,"[[ 7.20383816e-01  2.78741332e-01  9.00383816e-01  2.16298987e-04
   4.93241386e-01  4.93241386e-01  8.45544382e-01  6.86083511e-01
   6.92375416e-01  2.44430358e-02 -1.30134019e-02  0.00000000e+00]
 [ 5.11089695e-01  2.07718028e-01 -1.17370539e-02  6.71516264e-01
   2.79356380e-01  3.60981794e-01  2.41751852e-02  5.11089695e-01
   4.73823919e-01  6.71516264e-01  6.71516264e-01  0.00000000e+00]]"
59,RNNA-10-10-28,"[[ 0.80007222  0.26047143  0.80007222  0.80007222  0.55037486  0.1148225
   0.08503647  0.63371754  0.80007222  0.          0.06034096  0.12541   ]
 [ 0.00231872 -0.01723913  0.06383585  0.          0.06633344  0.07922206
   0.0899033   0.06383585 -0.01723913  0.1059997   0.1059997   0.05561787]]"
60,RNNA-10-10-29,"[[ 0.29385031  0.0557528   0.09536884  0.          0.29385031  0.29385031
   0.2875584   0.14757124  0.29385031 -0.00285505  0.18386826  0.09536884]
 [ 0.17825073  0.18435507  0.18435507  0.12791028  0.          0.
   0.00533852  0.04023343  0.          0.14652672  0.08095543  0.17825073]]"
61,RNNA-10-10-30,"[[ 0.08314199  0.          0.15752735  0.02357903  0.23624112  0.25524246
  -0.0050298   0.25524246  0.25524246  0.25524246  0.08314199  0.02357903]
 [ 0.74067492  0.5973088   0.28426174  0.00101255  0.          0.39383536
   0.55201555  0.19377193  0.27236829  0.09737396  0.74067492 -0.02713028]]"
62,LSTM-10-10-0,"[[0.         0.21610696 0.99723326 0.12315362 0.21610696 0.69271169
  0.         0.21610696 0.99723326 0.19568852 0.16333901 0.87112737]
 [0.99290026 0.50024109 0.         0.76124112 0.50024109 0.12596066
  0.99290026 0.50024109 0.         0.63143662 0.35451231 0.01916744]]"
63,LSTM-10-10-1,"[[0.60187432 0.         0.98954021 0.85179584 0.98954021 0.17544397
  0.60187432 0.         0.98954021 0.95053887 0.98954021 0.23987561]
 [0.44103697 0.99272715 0.         0.12348829 0.03590887 0.8232084
  0.39769166 0.99272715 0.         0.24905812 0.07194553 0.68131283]]"
