,Kind,Min_Length,Max_Length,Unnamed: 0,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
36,LSTMA,40,40,1224.0,15.0,0.6799419354838709,0.021,0.03309032258064516,3.409951612903226,0.08492903225806452,-0.019958064516129033,0.012270967741935484,0.025483870967741937,7.32258064516129,6.967741935483871,2.870967741935484,3.3225806451612905,5.806451612903226,0.7267483870967741,0.8760322580645161,0.07975161290322581
37,LSTMA,40,45,1410.0,15.0,1.074058064516129,0.03592258064516129,0.05564193548387097,3.4703387096774194,0.15519032258064516,-0.016483870967741936,0.04711935483870968,0.03510967741935484,7.709677419354839,6.870967741935484,3.2580645161290325,3.3548387096774195,5.387096774193548,0.6636483870967742,1.0859451612903226,0.12290967741935484
38,LSTMA,50,50,1596.0,15.0,0.5196129032258064,0.011419354838709676,0.027880645161290324,3.286474193548387,0.07297419354838709,-0.01868064516129032,0.017716129032258065,0.013335483870967741,7.483870967741935,6.838709677419355,2.935483870967742,4.129032258064516,4.935483870967742,0.5278709677419355,1.018767741935484,0.04166774193548387
39,LSTMA,50,55,1782.0,15.0,0.588741935483871,0.02163548387096774,0.03205806451612903,3.3316290322580646,0.08469032258064516,-0.007919354838709678,0.022683870967741934,0.023829032258064518,7.451612903225806,6.838709677419355,3.774193548387097,3.935483870967742,4.290322580645161,0.5567322580645162,0.7221709677419355,0.05318064516129033
40,RNN,10,10,15.0,15.0,9.758829032258065,0.3990225806451613,0.33051290322580645,3.503296774193548,0.9074032258064516,-0.020974193548387098,0.4478741935483871,0.35067096774193546,5.806451612903226,6.064516129032258,2.0,2.3870967741935485,7.612903225806452,0.2537032258064516,0.4405612903225806,1.9564129032258064
41,RNN,10,15,201.0,15.0,10.133067741935482,0.414441935483871,0.3581483870967742,3.5182709677419357,0.9426903225806452,-0.02189032258064516,0.40891612903225805,0.42275161290322577,5.741935483870968,5.935483870967742,1.935483870967742,2.2580645161290325,7.806451612903226,0.22156774193548387,0.3260774193548387,1.758048387096774
42,RNN,20,20,387.0,15.0,10.682293548387097,0.4422774193548387,0.3563483870967742,3.568158064516129,0.9531612903225806,-0.008954838709677419,0.4762096774193548,0.3922322580645161,6.193548387096774,5.806451612903226,1.7419354838709677,1.7419354838709677,8.516129032258064,0.1927548387096774,0.25383870967741934,2.14358064516129
43,RNN,20,25,573.0,15.0,10.734393548387098,0.44170645161290323,0.36324193548387096,3.5696354838709676,0.9560354838709677,-0.018541935483870967,0.4501483870967742,0.42811935483870966,5.838709677419355,6.129032258064516,1.7096774193548387,1.7419354838709677,8.548387096774194,0.17975806451612902,0.20406774193548388,2.068
44,RNN,30,30,759.0,15.0,11.496632258064515,0.47764193548387096,0.3918935483870968,3.6280548387096774,0.9853999999999999,-0.0060419354838709685,0.4722903225806452,0.46223548387096774,6.419354838709677,6.0,1.3870967741935485,0.967741935483871,9.64516129032258,0.14681612903225807,0.17450967741935483,1.8498258064516129
45,RNN,30,35,945.0,15.0,11.226680645161291,0.4658935483870968,0.3786483870967742,3.465177419354839,0.9638741935483871,-0.006358064516129032,0.5083612903225806,0.47404193548387097,5.741935483870968,5.419354838709677,0.8709677419354839,1.7096774193548387,9.419354838709678,0.0922483870967742,0.12425483870967742,1.8419
46,RNN,40,40,1131.0,15.0,11.410593548387098,0.47366451612903226,0.38136129032258065,3.523370967741936,0.974241935483871,-0.006758064516129032,0.49924193548387097,0.4782677419354839,6.161290322580645,5.419354838709677,1.1935483870967742,1.6129032258064515,9.193548387096774,0.16001612903225806,0.1279290322580645,1.9483548387096774
