,Kind,Min_Length,Max_Length,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Shannon Entropy,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
40,GRU,40,40,12.618361343591163,0.5257650559829651,0.08919539215946427,0.7030945625621522,0.3211265208332588,4.5638759703579055,0.5139446913764049,14,0.2,0.2,2.2474972568935665
41,GRUA,40,40,1.3340912117092405,0.055587133821218354,0.01691309434820365,0.09850836737798793,0.017078904360189006,4.513153408614089,0.048468346846846706,18,1.4,1.75,-2.6645352591003757e-15
42,RNN,40,45,11.172079884733527,0.46550332853056364,0.06877832248694801,0.6699965073599098,0.36312640024045284,4.569761581498401,0.475195022753793,10,0.09090909090909091,0.125,2.142833772165068
43,RNNA,40,45,0.6775566218016238,0.02823152590840099,0.00852379313520627,0.042751702675971816,0.010333844554802749,4.516212377834168,0.030040316423655074,9,0.0,0.0,0.08759620684927549
44,LSTM,40,45,10.172902892343874,0.42387095384766144,0.0811984499471527,0.5864323030063717,0.2725043983923483,4.558410279044133,0.429671896571591,11,0.09090909090909091,0.1111111111111111,3.4242996996026274
45,LSTMA,40,45,0.8658067840892851,0.03607528267038688,0.011177835468461513,0.05966954557299364,0.014771340802110938,4.516344373234905,0.03860459264163892,9,0.09090909090909091,0.14285714285714285,0.05230410017596032
46,GRU,40,45,12.381924229113118,0.5159135095463799,0.056226583441116786,0.6312610541321035,0.3948986065080939,4.576264973156797,0.5120480933390257,13,0.3333333333333333,0.42857142857142855,1.3059005038750722
47,GRUA,40,45,0.9061429222328945,0.03775595509303727,0.01162675724314097,0.06687119734854426,0.017921404500015028,4.516554372808997,0.03853704306628103,11,0.09090909090909091,0.1111111111111111,0.3265455320866639
48,RNN,50,50,11.152306298559875,0.46467942910666143,0.07805329136160444,0.6165055957426618,0.309283231650105,4.564509506644533,0.4877834345928267,8,0.0,0.0,2.219922536602512
49,RNNA,50,50,0.852231737642408,0.035509655735100336,0.01290405004762051,0.06346874292565068,0.0190872615487389,4.495354293708694,0.042207709278757284,6,0.0,0.0,0.0
50,LSTM,50,50,10.514792204523333,0.43811634185513887,0.06399164123757516,0.616607893438222,0.345083734298035,4.569953550880211,0.4470689774579617,10,0.2,0.3333333333333333,3.3251276684986677
51,LSTMA,50,50,0.3364542832365174,0.014018928468188224,0.005780169115940978,0.030219480836173783,0.00665696255752293,4.474502147211997,0.021150290167792653,2,0.0,0.0,8.881784197001252e-16
52,GRU,50,50,12.94934060537047,0.5395558585571029,0.08190050924574559,0.6999800321935036,0.38820188173591197,4.568435260555624,0.5284460746754354,14,0.3333333333333333,0.375,3.6059995721489924
53,GRUA,50,50,0.9191369083967027,0.03829737118319595,0.016107351477705853,0.06411341009640589,0.01145973774815249,4.449221490779424,0.035955162436064204,14,0.3333333333333333,0.375,1.145678692963937
54,RNN,50,55,11.58011397796417,0.48250474908184043,0.06622082431769119,0.6147259925391287,0.3500439189853603,4.571289172562265,0.47804295768509797,13,0.2,0.2222222222222222,1.448749919784082
55,RNNA,50,55,0.564958016766828,0.0235399173652845,0.008073004693293022,0.0474932008415217,0.010933966098667957,4.5042842519071655,0.02581637169537616,8,0.09090909090909091,0.16666666666666666,0.05641112230241463
56,LSTM,50,55,10.2714665703286,0.42797777376369167,0.05944595476006382,0.5279452279165178,0.32749054094738594,4.571106237997613,0.42797777376369167,12,0.2,0.25,2.382172304877423
57,LSTMA,50,55,0.438684255192208,0.018278510633008668,0.008847179828048654,0.03374575810424578,0.004127246352879321,4.409545408529651,0.02023800053004564,9,0.09090909090909091,0.14285714285714285,-0.0806986780767871
58,GRU,50,55,13.05682997873037,0.5440345824470988,0.0653391245227874,0.6718234446370162,0.38691390301911516,4.574254449764527,0.5397584893475295,13,0.2,0.2222222222222222,2.2476964938294297
59,GRUA,50,55,0.8661248787116602,0.03608853661298584,0.011694410874000069,0.05174800366659808,0.012599340356976773,4.5026585000253405,0.033409321339873496,15,0.7142857142857143,1.0,-2.220446049250313e-15
