,Kind,Min_Length,Max_Length,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Shannon Entropy,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes
19,RNNA,20,25,2.501258196606896,0.10421909152528734,0.041679326964442535,0.17358942814338132,0.019969568135724886,4.460718211018719,0.110276390679164,10,0.0,0.0
20,LSTM,20,25,10.458028770444496,0.4357511987685207,0.07946583104003428,0.5822167417895314,0.2733292210754667,4.5605818923940005,0.44102570769909893,11,0.09090909090909091,0.1111111111111111
21,LSTMA,20,25,1.8638070675148941,0.07765862781312059,0.020177736875911113,0.1302177502368771,0.033477509505038396,4.5355782673709495,0.09169422610803607,4,0.0,0.0
22,GRU,20,25,12.459251734232136,0.519135488926339,0.07012737246112988,0.7355693875869918,0.42080953655061043,4.572462701257045,0.6044627625785237,2,0.0,0.0
23,GRUA,20,25,2.079974169404621,0.08666559039185921,0.0316295658889691,0.1429243652168423,0.04265509707041258,4.489894571058757,0.10244365446654516,6,0.0,0.0
24,RNN,30,30,11.112302961687218,0.4630126234036341,0.08450755727941607,0.6044179325733677,0.2847095159011026,4.560204846817233,0.46907180521083186,11,0.0,0.0
25,RNNA,30,30,1.3352665224076423,0.05563610510031843,0.015715561604741784,0.08303807519951709,0.021833678626739954,4.522195072287106,0.05239286994634939,15,0.5,0.5714285714285714
26,LSTM,30,30,10.40407291971922,0.4335030383216341,0.06995921070888757,0.5738209625470412,0.26358371388324986,4.565494374875848,0.4470821382368879,9,0.09090909090909091,0.14285714285714285
27,LSTMA,30,30,0.9295905673387372,0.03873294030578072,0.014569866520240185,0.06523942557319427,0.014662411103534178,4.480950444633688,0.04089586114972281,10,0.0,0.0
28,GRU,30,30,12.800495311599196,0.5333539713166332,0.07229550423770177,0.6762854065718901,0.37087611585903496,4.571525790673011,0.5479433547066395,9,0.0,0.0
29,GRUA,30,30,1.3424786469141394,0.05593661028808914,0.01634655029178971,0.09476552329548268,0.028047025904765627,4.525854919459671,0.0658979916814856,5,0.0,0.0
30,RNN,30,35,10.923235486573933,0.45513481194058053,0.0662892591562693,0.5455089656786289,0.3235280923058019,4.569291387380199,0.44472175617066145,14,0.2,0.2
31,RNNA,30,35,1.391211980569003,0.05796716585704179,0.014006532607427897,0.08639157750819114,0.038341803530130274,4.543470057780036,0.062139968604624805,8,0.09090909090909091,0.16666666666666666
32,LSTM,30,35,10.47779722404587,0.4365748843352446,0.049340625007806234,0.5717266757135575,0.34379381067368536,4.575946441551495,0.46581581845163966,5,0.0,0.0
33,LSTMA,30,35,0.5570374571157113,0.02320989404648797,0.008910183030695063,0.04804650220940734,0.010036725685740523,4.490074234194063,0.03177219396987247,3,0.0,0.0
34,GRU,30,35,12.720957768681195,0.5300399070283831,0.0537255879302366,0.6317488397152777,0.40980039471266294,4.577469626716166,0.53367168563072,11,0.2,0.2857142857142857
35,GRUA,30,35,1.7540438202743571,0.07308515917809821,0.017376520566539787,0.10432929328771559,0.03827901948681165,4.542606838497743,0.06639115855184481,17,0.7142857142857143,0.7142857142857143
36,RNN,40,40,11.439618510066115,0.4766507712527548,0.0911269182037514,0.7115869725402946,0.26941182672820174,4.55837984650136,0.47087819411555115,13,0.2,0.2222222222222222
37,RNNA,40,40,1.5172368559743847,0.06321820233226604,0.0233047355706828,0.12268238913851158,0.031475439867270034,4.489621766702843,0.06321820233226604,12,0.2,0.25
38,LSTM,40,40,9.962919776055326,0.4151216573356386,0.06735253256562744,0.5171109756162886,0.26440853257831304,4.564988912134183,0.3805969002570331,18,1.0,1.0
39,LSTMA,40,40,0.6205430283921846,0.025855959516341023,0.010675330952203606,0.04373553087304618,0.007859825624229367,4.454559686037705,0.025855959516341023,12,0.09090909090909091,0.1
40,GRU,40,40,12.753937483610246,0.5314140618170936,0.08436246647068374,0.7416654312258559,0.3552940645533081,4.566831853996915,0.5775653789549489,5,0.0,0.0
41,GRUA,40,40,1.3678210616207607,0.05699254423419836,0.016966213850527753,0.10166865033308407,0.018821548473532103,4.515487110469436,0.04584669676817518,20,2.0,2.0
42,RNN,40,45,11.196989127576211,0.4665412136490088,0.0628221744358146,0.6254580782946455,0.3514306204170857,4.572054759151269,0.4959313559935872,6,0.09090909090909091,0.25
43,RNNA,40,45,0.7338206597133141,0.03057586082138809,0.008143696279400587,0.04394265835076302,0.011451070708659515,4.528438327374703,0.030055464872896107,13,0.3333333333333333,0.42857142857142855
44,LSTM,40,45,10.240513670681333,0.4266880696117222,0.07864749280456712,0.5950123594195041,0.28574653638550873,4.560751949897663,0.42668806961172223,12,0.09090909090909091,0.1
45,LSTMA,40,45,0.8268783295791462,0.03445326373246443,0.012953867110542501,0.06494458474323969,0.013042465001188448,4.483209079688078,0.03942521106802473,7,0.09090909090909091,0.2
46,GRU,40,45,12.229704431045013,0.5095710179602089,0.059699198644638074,0.610050389229446,0.38348692676539,4.574848517342059,0.49639074819198453,15,0.3333333333333333,0.3333333333333333
47,GRUA,40,45,0.7527263967614757,0.03136359986506149,0.007889600448955774,0.041911309534906876,0.006011340078695859,4.529207670769249,0.02679973618801937,19,1.4,1.4
48,RNN,50,50,11.00939372243322,0.4587247384347175,0.07948547474989781,0.5959937499512608,0.25710037427381566,4.562606749803654,0.4422137574499714,15,0.3333333333333333,0.3333333333333333
