,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
16,GRUA,40,40,15.0,7.080320632764028,0.2935350122733507,0.21310917403342286,4.076447996153705,0.5645674644189923,-0.01044498516599998,0.2832389685142394,12.64516129032258,0.38428990364474236,0.6275089605734766,1.9337163320173718
17,GRUA,40,45,15.0,6.914960224757037,0.286300386389702,0.21152675429407972,4.065957499714632,0.5675556590877743,-0.011917434808784589,0.2903858142829441,11.774193548387096,0.2793045664013406,0.4275729646697389,1.7979152378076921
18,GRUA,50,50,15.0,6.450021185848608,0.26614372404311853,0.20127883933022767,4.047336809406946,0.5333994514227004,-0.01449685972722087,0.26878242982999356,11.935483870967742,0.33450635386119254,0.4782909742587162,1.641854306774282
19,GRUA,50,55,15.0,6.11298209798817,0.25281178563057877,0.1905254317154937,4.051520325231192,0.5108898597887656,-0.012862937296475582,0.25505489804884124,11.935483870967742,0.32410277894148865,0.46173835125448026,1.5508782254789657
20,LSTM,10,10,15.0,9.135575827936409,0.37426834364834954,0.3362153510289662,3.941474164358164,0.9903091767165925,-0.043747507223278394,0.4630577262608637,8.903225806451612,0.1501186985057953,0.23302611367127496,1.927869631892717
21,LSTM,10,15,15.0,9.2727150261999,0.3798011771822159,0.3395057925083496,3.9428474788939942,0.9916713843278758,-0.04523630697037981,0.5008293794040303,7.645161290322581,0.06761625471302891,0.11039426523297491,1.9935742806851688
22,LSTM,20,20,15.0,7.89013991709676,0.32809242271036454,0.25631240725755866,4.032012270615007,0.7437216254341864,-0.006613110082822358,0.3195954671655183,12.451612903225806,0.2665689149560117,0.3431899641577061,1.8357492010312257
23,LSTM,20,25,15.0,8.110304690349237,0.33760738223938425,0.26106683826094346,4.054486945901771,0.7675103767836557,-0.0037977275514223985,0.3320091380251461,12.290322580645162,0.24017595307917888,0.3047875064004096,1.9042104892461589
24,LSTM,30,30,15.0,7.74910355946104,0.32237877217633243,0.2279939772274605,4.096557312390955,0.6124688133526164,-0.004471267845126894,0.3115000043640482,12.580645161290322,0.3167015779919006,0.4486943164362519,2.038898829526384
25,LSTM,30,35,15.0,7.857766382030926,0.3264193570980303,0.23364284953928716,4.088664107130476,0.6237322941146801,-0.007091863212840822,0.31405907504033514,12.64516129032258,0.3339058790671694,0.4878392217101894,2.112476606529724
26,LSTM,40,40,15.0,7.216646650736026,0.29951019081906627,0.21695246793842327,4.076009775436093,0.5798358050823155,-0.008226760600833164,0.2938979538305195,12.32258064516129,0.34939254294093003,0.544521249359959,1.9225271479096526
27,LSTM,40,45,15.0,7.025183351438233,0.29151497574703567,0.20876820209650135,4.089186407385123,0.5588225014301446,-0.009413184191043674,0.2819195552119802,12.580645161290322,0.3592235721267979,0.5502560163850486,1.9236170141311535
28,LSTM,50,50,15.0,6.3710596812644145,0.2640998736905999,0.20711660685890082,4.013571157100058,0.5629295014027085,-0.010462561480996693,0.2841583768704163,11.03225806451613,0.2580505515989387,0.3795186891961086,1.5279317931772072
29,LSTM,50,55,15.0,6.271395317771511,0.2598218422980029,0.20164336475200317,4.03143431235094,0.5378551614308271,-0.011376401549855692,0.27986980514540055,11.03225806451613,0.277377461248429,0.4334101382488479,1.5262515110020758
30,LSTMA,10,10,15.0,9.21013802652738,0.37600260103391164,0.34164653746615553,3.9263849149756918,0.9902154818812079,-0.05248555600493244,0.49056822512844395,7.935483870967742,0.09433040078201368,0.14551971326164875,1.8823872586341344
31,LSTMA,10,15,15.0,9.131687159426788,0.37209665802040054,0.34558513194448454,3.9057928083497653,0.9905824253950685,-0.053684186292703134,0.4813761505693454,8.258064516129032,0.11199553135037006,0.1912186379928315,1.7826300147951375
32,LSTMA,20,20,15.0,8.351727401599783,0.3474805375737692,0.2655562164383337,4.060363886492151,0.7734765932883295,-0.004644632653686327,0.3472937511198357,12.096774193548388,0.24721407624633432,0.3252944188428059,1.9741722000436863
33,LSTMA,20,25,15.0,8.146612347711581,0.3383268042902591,0.2633791184835514,4.0368254492293785,0.7675035542593704,-0.008933682499268928,0.3338494925558772,12.258064516129032,0.2724340175953079,0.34959037378392216,1.908556935477725
34,LSTMA,30,30,15.0,8.242450190949498,0.3428358966219014,0.23886606645176958,4.1032950891177435,0.6431967115470393,-0.005347044202248046,0.3215892705783529,13.129032258064516,0.3733696411115766,0.5175243215565796,2.267097207606975
35,LSTMA,30,35,15.0,7.804733780446006,0.32399536134340867,0.23311774365948293,4.088813280878306,0.6294239199937768,-0.008728941167306912,0.3089463496309998,12.838709677419354,0.34830330959363215,0.5171658986175116,2.0151648865814904
36,LSTMA,40,40,15.0,6.832304504735236,0.283126482507857,0.20817252169266806,4.063902994791079,0.5457707964167087,-0.010827703701840375,0.2778315960977317,12.35483870967742,0.31439743052646274,0.4578853046594982,1.7693689607627092
37,LSTMA,40,45,15.0,6.9759075015454926,0.28971872865516834,0.21443214556503115,4.0669922038454,0.5870948875682948,-0.007155780361079319,0.2951470414159908,11.741935483870968,0.24312246892892053,0.3589605734767025,1.7067087385455908
38,LSTMA,50,50,15.0,6.086509912598757,0.2517876862122295,0.19360455147592132,4.041700184087669,0.52047960612144,-0.012053333365111657,0.2652674046708661,11.258064516129032,0.3082111436950147,0.4840757808499744,1.4915502090980366
39,LSTMA,50,55,15.0,5.9186506893644495,0.24402372896405064,0.19789117298478037,3.991390139570218,0.5262256127513412,-0.014625573316889299,0.2699883144277293,10.64516129032258,0.20671693897500348,0.3240015360983103,1.2876529524357985
40,RNN,10,10,15.0,9.258720087537242,0.37639141482798366,0.3526922476566341,3.8983016306594265,0.9899779287744356,-0.05860240711533536,0.49025102296681805,8.193548387096774,0.09433040078201368,0.1419866871479775,1.744133444316954
41,RNN,10,15,15.0,9.240683122140018,0.37766615362796324,0.34234911452441624,3.933347462670278,0.9893370711613771,-0.04626808533094978,0.48081731274414813,8.387096774193548,0.07917888563049853,0.11346646185355863,1.866267085214484
42,RNN,20,20,15.0,8.25502653351861,0.34363577107736615,0.25936493851497916,4.063798276404631,0.7358099096807428,-0.0037903988648892778,0.34204228464459285,12.193548387096774,0.266177908113392,0.3491295442908346,2.0140245062544873
43,RNN,20,25,15.0,8.052288811932343,0.33505621939144725,0.2562583943290995,4.058628173815553,0.7434847085079281,-0.004916938927620799,0.3317730613041842,12.193548387096774,0.2482893450635386,0.3191500256016385,1.9136873488520718
44,RNN,30,30,15.0,7.958471874289343,0.3310485763201755,0.23403282309848972,4.103053948253736,0.6260633812061891,-0.005502495272232813,0.3255286484858769,12.32258064516129,0.33465996369222173,0.5482334869431643,2.1569362486021904
45,RNN,30,35,15.0,7.770463407394032,0.3230452536414977,0.23289977476387425,4.085452021775375,0.6249113610805631,-0.005327482727953426,0.31380571832880266,12.516129032258064,0.30653540008378716,0.4620583717357911,2.0231031173071696
46,RNN,40,40,15.0,6.887446836294763,0.28532985278770223,0.2092449066889953,4.071059712420298,0.5542479236899319,-0.0108048125177088,0.27865790313812805,12.419354838709678,0.29490294651584975,0.42200460829493086,1.7228362628392797
47,RNN,40,45,15.0,6.831840699597884,0.28336901938446285,0.20746707250029237,4.072161698667309,0.5590663725994988,-0.008606516109012752,0.28601638309888716,11.870967741935484,0.2666527021365731,0.3703277009728622,1.7142340408894678
48,RNN,50,50,15.0,6.209917628451177,0.2565010149820671,0.2071228987956967,3.9907431083469076,0.5536660607947997,-0.012531950388550322,0.2805617356096174,10.67741935483871,0.25483870967741934,0.40209933435739886,1.4041680199146822
49,RNN,50,55,15.0,6.068701707997636,0.2509821890216299,0.1965362153260567,4.024716682688361,0.5325229775987584,-0.012455927268615044,0.26045650113128266,11.67741935483871,0.2981008239072755,0.43433296094586415,1.4340699788164095
50,RNNA,10,10,15.0,9.209874376924486,0.37605456051358915,0.34466474957432003,3.9184253589938107,0.9881193055617138,-0.04698819478652378,0.4860363614461801,8.193548387096774,0.11981566820276499,0.20092165898617512,1.8767004301648862
51,RNNA,10,15,15.0,9.40474177351997,0.3846415239538163,0.33876258325157743,3.9590088705388355,0.9879963237459259,-0.0476675309659669,0.47249138370900307,8.903225806451612,0.13862589023879346,0.2016385048643113,2.0566824433728983
52,RNNA,20,20,15.0,8.420478385082768,0.3505560129538117,0.2642276763444909,4.076568251913645,0.7735822785205203,-0.0034282778197426244,0.3481850220587441,12.193548387096774,0.25219941348973607,0.3214285714285714,2.066923076282993
53,RNNA,20,25,15.0,8.074155902279344,0.335702884833481,0.2553174520566001,4.060532942380266,0.7211403115462386,-0.00523246178368258,0.3375457985189751,11.96774193548387,0.21485826001955033,0.27012288786482336,1.9129074084760433
54,RNNA,30,30,15.0,7.596700228518075,0.3158968474972601,0.23122073839176632,4.072656162817773,0.6135159330094886,-0.005014145302894994,0.31072563606839704,12.32258064516129,0.2841083647535261,0.4093189964157706,1.9316362658729862
55,RNNA,30,35,15.0,7.927271568747151,0.3290218248240335,0.23526356241637558,4.087795713984587,0.6280445546451217,-0.009607879226434088,0.31185578261940095,12.935483870967742,0.35814830330959363,0.48814644137224783,2.114507522701692
56,RNNA,40,40,15.0,6.985430237926039,0.29013946046234274,0.20982804732016666,4.083067075187694,0.5623197930756321,-0.006600950813734889,0.2836789616066667,12.451612903225806,0.34916911045943305,0.5281746031746031,1.840644395001397
57,RNNA,40,45,15.0,6.9148715264079,0.28663362134880344,0.2134353667995171,4.054277652931577,0.5614950417658905,-0.011575715765817124,0.28846539499977597,11.96774193548387,0.2989526602429828,0.456041986687148,1.7277726061206489
58,RNNA,50,50,15.0,6.293848503901262,0.2602773153422216,0.20045572509109238,4.036418747462651,0.5409849838643859,-0.01237927591567386,0.2696748786973145,11.483870967741936,0.33252339058790675,0.5728366615463389,1.5599150624954987
59,RNNA,50,55,15.0,6.139270330764811,0.25377573677749854,0.2033429004498333,4.004572774153448,0.5515219732664981,-0.01362676664040097,0.27562719581901546,10.741935483870968,0.24296885909789137,0.41125192012288786,1.4579030283336696
