Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,5,13,0.06372323685440996
RNN-RNN,10,10,5,14,0.47271184900282537
RNN-RNN,10,10,5,15,0.7330362977884288
RNN-RNN,10,10,5,16,0.31576775421957304
RNN-RNN,10,10,5,17,0.7569332951774005
RNN-RNN,10,10,5,18,0.7908800744983863
RNN-RNN,10,10,5,19,0.6656526886550161
RNN-RNN,10,10,5,20,0.6828183167561268
RNN-RNN,10,10,5,21,0.6092322534230966
RNN-RNN,10,10,5,22,0.4089739978708896
RNN-RNN,10,10,5,23,0.6467989654656217
RNN-RNN,10,10,5,24,0.5271967207742392
RNN-RNN,10,10,5,25,0.46618672667406313
RNN-RNN,10,10,5,26,0.5639610693641013
RNN-RNN,10,10,5,27,0.6760016337738864
RNN-RNN,10,10,5,28,0.06831747900825443
RNN-RNN,10,10,5,29,0.7449268933981593
RNN-RNN,10,10,5,30,0.6260389906242506
RNN-RNN,10,10,6,0,0.398131261156592
RNN-RNN,10,10,6,1,0.6364514572783723
RNN-RNN,10,10,6,2,0.4824889579557402
RNN-RNN,10,10,6,3,0.6697140922116452
RNN-RNN,10,10,6,4,0.6278721462960204
RNN-RNN,10,10,6,5,0.3862309130522534
RNN-RNN,10,10,6,7,0.6839410146299039
RNN-RNN,10,10,6,8,0.713256752140837
RNN-RNN,10,10,6,9,0.49546408492680133
RNN-RNN,10,10,6,10,0.6083397138868204
RNN-RNN,10,10,6,11,0.610576932272556
RNN-RNN,10,10,6,12,0.5751447532361734
RNN-RNN,10,10,6,13,0.7302562713214245
RNN-RNN,10,10,6,14,0.4813585700736589
RNN-RNN,10,10,6,15,0.49191787264638603
RNN-RNN,10,10,6,16,0.7799654165502495
RNN-RNN,10,10,6,17,0.5996398282450031
RNN-RNN,10,10,6,18,0.43201782606832856
RNN-RNN,10,10,6,19,0.6358801164663889
RNN-RNN,10,10,6,20,0.43762637279681693
RNN-RNN,10,10,6,21,0.7095812098018979
RNN-RNN,10,10,6,22,0.7354238975242539
RNN-RNN,10,10,6,23,0.7442755739280695
RNN-RNN,10,10,6,24,0.5939617682793749
RNN-RNN,10,10,6,25,0.7555217008542142
RNN-RNN,10,10,6,26,0.7192482630035323
RNN-RNN,10,10,6,27,0.5086626314389943
RNN-RNN,10,10,6,28,0.6099332671487526
RNN-RNN,10,10,6,29,0.49131464513171685
RNN-RNN,10,10,6,30,0.6476541711598046
RNN-RNN,10,10,7,0,0.5685687377765994
RNN-RNN,10,10,7,1,0.46281067585759295
RNN-RNN,10,10,7,2,0.6550219125812543
RNN-RNN,10,10,7,3,0.6822919888924401
RNN-RNN,10,10,7,4,0.6749364539275506
RNN-RNN,10,10,7,5,0.6884870683640987
RNN-RNN,10,10,7,6,0.6839410146299039
RNN-RNN,10,10,7,8,0.5854558816500145
RNN-RNN,10,10,7,9,0.7366201178777143
RNN-RNN,10,10,7,10,0.7067626080249475
RNN-RNN,10,10,7,11,0.6697783037043921
RNN-RNN,10,10,7,12,0.7361515737784666
RNN-RNN,10,10,7,13,0.4314772890221929
RNN-RNN,10,10,7,14,0.6731961193365236
RNN-RNN,10,10,7,15,0.7036680581679624
RNN-RNN,10,10,7,16,0.7008278079576336
RNN-RNN,10,10,7,17,0.7222018199688905
RNN-RNN,10,10,7,18,0.7191489335882938
RNN-RNN,10,10,7,19,0.7777002335944178
RNN-RNN,10,10,7,20,0.5352352033042904
RNN-RNN,10,10,7,21,0.7062212943877503
RNN-RNN,10,10,7,22,0.6595749370748156
RNN-RNN,10,10,7,23,0.7946494845141907
RNN-RNN,10,10,7,24,0.6554070247451911
RNN-RNN,10,10,7,25,0.7791993055581894
RNN-RNN,10,10,7,26,0.6946063590817843
RNN-RNN,10,10,7,27,0.596325599354158
RNN-RNN,10,10,7,28,0.49009073365123673
RNN-RNN,10,10,7,29,0.6378460691367697
RNN-RNN,10,10,7,30,0.7089183222391255
RNN-RNN,10,10,8,0,0.5158388789987659
RNN-RNN,10,10,8,1,0.4203688283896778
RNN-RNN,10,10,8,2,0.5130536645640801
RNN-RNN,10,10,8,3,0.5719954417612414
RNN-RNN,10,10,8,4,0.7176035277255488
RNN-RNN,10,10,8,5,0.40721219192934505
RNN-RNN,10,10,8,6,0.713256752140837
RNN-RNN,10,10,8,7,0.5854558816500145
RNN-RNN,10,10,8,9,0.5822485794713019
RNN-RNN,10,10,8,10,0.6920096264598634
RNN-RNN,10,10,8,11,0.7177851813891302
RNN-RNN,10,10,8,12,0.5868673817600347
RNN-RNN,10,10,8,13,0.45420301276299657
RNN-RNN,10,10,8,14,0.6480739358819462
RNN-RNN,10,10,8,15,0.5165309375836562
RNN-RNN,10,10,8,16,0.7794085162154113
RNN-RNN,10,10,8,17,0.7171590827633898
RNN-RNN,10,10,8,18,0.5381073415767579
RNN-RNN,10,10,8,19,0.6035981903521759
RNN-RNN,10,10,8,20,0.5464529913754552
RNN-RNN,10,10,8,21,0.7299839123297718
RNN-RNN,10,10,8,22,0.7042720305516801
RNN-RNN,10,10,8,23,0.6551227748093026
RNN-RNN,10,10,8,24,0.8098181868790191
RNN-RNN,10,10,8,25,0.7266603135822842
RNN-RNN,10,10,8,26,0.7098924546319674
RNN-RNN,10,10,8,27,0.6909887112932511
RNN-RNN,10,10,8,28,0.40926376460008546
RNN-RNN,10,10,8,29,0.6866419768316929
RNN-RNN,10,10,8,30,0.584592165416403
RNN-RNN,10,10,9,0,0.7659835060169718
RNN-RNN,10,10,9,1,0.1807605085235003
